"file","n_before","n_after_cleaning","n_removed_mass_or_isotopologue"
"RC2_0081_ICR-2_p08.corems.csv",9362,3839,5523
"RC2_0081_ICR-3_p08.corems.csv",11068,4536,6532
"RC2_0082_ICR-1_p08.corems.csv",11446,4884,6562
"RC2_0082_ICR-2_p08.corems.csv",11125,4701,6424
"RC2_0082_ICR-3_p08.corems.csv",10855,4624,6231
"RC2_0083_ICR-1_p08.corems.csv",10461,4817,5644
"RC2_0083_ICR-2_p08.corems.csv",9754,4516,5238
"RC2_0083_ICR-3_p08.corems.csv",9625,4369,5256
"RC2_0084_ICR-1_p08.corems.csv",9555,4304,5251
"RC2_0084_ICR-2_p08.corems.csv",11118,5031,6087
"RC2_0084_ICR-3_p08.corems.csv",10471,4831,5640
"RC2_0085_ICR-1_p08.corems.csv",8666,3586,5080
"RC2_0085_ICR-2_p08.corems.csv",8499,3552,4947
"RC2_0085_ICR-3_p08.corems.csv",9241,3761,5480
"RC2_0086_ICR-1_p08.corems.csv",10520,4186,6334
"RC2_0086_ICR-2_p08.corems.csv",11393,4577,6816
"RC2_0086_ICR-3_p08.corems.csv",10276,4129,6147
"RC2_0087_ICR-1_p08.corems.csv",11309,4612,6697
"RC2_0087_ICR-2_p08.corems.csv",10386,4347,6039
"RC2_0087_ICR-3_p08.corems.csv",11839,4856,6983
"RC2_0088_ICR-1_p08.corems.csv",10051,4276,5775
"RC2_0088_ICR-2_p08.corems.csv",10961,4676,6285
"RC2_0088_ICR-3_p08.corems.csv",10783,4614,6169
"RC2_0089_ICR-1_p08.corems.csv",10236,4742,5494
"RC2_0089_ICR-2_p08.corems.csv",9929,4526,5403
"RC2_0089_ICR-3_p08.corems.csv",10249,4740,5509
"RC2_0090_ICR-1_p08.corems.csv",10027,4497,5530
"RC2_0090_ICR-2_p08.corems.csv",9656,4366,5290
"RC2_0090_ICR-3_p08.corems.csv",10008,4628,5380
"RC2_0091_ICR-1_p1.corems.csv",6938,2827,4111
"RC2_0091_ICR-2_p1.corems.csv",6673,2513,4160
"RC2_0091_ICR-3_p1.corems.csv",6891,2819,4072
"RC2_0092_ICR-1_p1.corems.csv",7536,2967,4569
"RC2_0092_ICR-2_p1.corems.csv",9686,3915,5771
"RC2_0092_ICR-3_p1.corems.csv",8366,3277,5089
"RC2_0093_ICR-1_p1.corems.csv",9542,3867,5675
"RC2_0093_ICR-2_p1.corems.csv",10098,4085,6013
"RC2_0093_ICR-3_p1.corems.csv",11588,4738,6850
"RC2_0094_ICR-1_p1.corems.csv",10348,4354,5994
"RC2_0094_ICR-2_p1.corems.csv",9821,4046,5775
"RC2_0094_ICR-3_p1.corems.csv",10298,4340,5958
"RC2_0095_ICR-1_p1.corems.csv",8867,4108,4759
"RC2_0095_ICR-2_p1.corems.csv",10065,4465,5600
"RC2_0095_ICR-3_p1.corems.csv",9230,4211,5019
"RC2_0096_ICR-1_p1.corems.csv",8135,3641,4494
"RC2_0096_ICR-2_p1.corems.csv",9887,4549,5338
"RC2_0096_ICR-3_p1.corems.csv",9255,4219,5036
"RC2_0097_ICR-1_p1.corems.csv",9310,4247,5063
"RC2_0097_ICR-2_p1.corems.csv",9094,4095,4999
"RC2_0097_ICR-3_p1.corems.csv",8736,3893,4843
"RC2_0098_ICR-1_p1.corems.csv",9737,4349,5388
"RC2_0098_ICR-2_p1.corems.csv",9778,4407,5371
"RC2_0098_ICR-3_p1.corems.csv",9599,4292,5307
"RC2_0099_ICR-1_p1.corems.csv",10598,4541,6057
"RC2_0099_ICR-2_p1.corems.csv",9915,4234,5681
"RC2_0099_ICR-3_p1.corems.csv",10121,4379,5742
"RC2_0100_ICR-1_p1.corems.csv",11304,4789,6515
"RC2_0100_ICR-2_p1.corems.csv",10311,4161,6150
"RC2_0100_ICR-3_p1.corems.csv",10404,4194,6210
"RC2_0101_ICR-1_p1.corems.csv",7500,3099,4401
"RC2_0101_ICR-2_p3.corems.csv",7952,3132,4820
"RC2_0101_ICR-3_p1.corems.csv",8112,3204,4908
"RC2_0103_ICR-1_p1.corems.csv",9542,3900,5642
"RC2_0103_ICR-2_p1.corems.csv",10075,4026,6049
"RC2_0103_ICR-3_p1.corems.csv",10960,4441,6519
"RC2_0104_ICR-1_p1.corems.csv",9168,3896,5272
"RC2_0104_ICR-2_p1.corems.csv",8374,3586,4788
"RC2_0104_ICR-3_p1.corems.csv",9495,4068,5427
"RC2_0105_ICR-1_p1.corems.csv",9503,4313,5190
"RC2_0105_ICR-2_p1.corems.csv",9797,4362,5435
"RC2_0105_ICR-3_p1.corems.csv",9708,4358,5350
"RC2_0106_ICR-1_p1.corems.csv",9510,4184,5326
"RC2_0106_ICR-2_p1.corems.csv",9496,4289,5207
"RC2_0106_ICR-3_p1.corems.csv",9255,4225,5030
"RC2_0107_ICR-1_p3.corems.csv",7693,2962,4731
"RC2_0107_ICR-2_p1.corems.csv",7707,3127,4580
"RC2_0107_ICR-3_p1.corems.csv",8136,3231,4905
"RC2_0108_ICR-1_p1.corems.csv",10392,4133,6259
"RC2_0108_ICR-2_p1.corems.csv",10506,4289,6217
"RC2_0108_ICR-3_p1.corems.csv",10218,4166,6052
"RC2_0109_ICR-1_p1.corems.csv",10466,4271,6195
"RC2_0109_ICR-2_p1.corems.csv",11528,4682,6846
"RC2_0109_ICR-3_p1.corems.csv",10143,4035,6108
"RC2_0110_ICR-1_p1.corems.csv",9812,4285,5527
"RC2_0110_ICR-2_p1.corems.csv",8824,3734,5090
"RC2_0110_ICR-3_p1.corems.csv",9918,4262,5656
"RC2_0111_ICR-1_p1.corems.csv",8469,3802,4667
"RC2_0111_ICR-2_p1.corems.csv",9032,3982,5050
"RC2_0111_ICR-3_p1.corems.csv",8455,3743,4712
"RC2_0112_ICR-1_p1.corems.csv",8454,3702,4752
"RC2_0112_ICR-2_p1.corems.csv",9695,4284,5411
"RC2_0112_ICR-3_p1.corems.csv",9383,4158,5225
"RC2_0113_ICR-1_p3.corems.csv",8351,3285,5066
"RC2_0113_ICR-2_p1.corems.csv",7893,3113,4780
"RC2_0113_ICR-3_p1.corems.csv",8542,3440,5102
"RC2_0114_ICR-1_p1.corems.csv",9813,3920,5893
"RC2_0114_ICR-2_p1.corems.csv",8255,3307,4948
"RC2_0114_ICR-3_p1.corems.csv",8478,3316,5162
"RC2_0115_ICR-1_p1.corems.csv",10667,4272,6395
"RC2_0115_ICR-2_p1.corems.csv",9807,3713,6094
"RC2_0115_ICR-3_p1.corems.csv",8523,3391,5132
"RC2_0116_ICR-1_p1.corems.csv",8804,3740,5064
"RC2_0116_ICR-2_p1.corems.csv",8495,3793,4702
"RC2_0116_ICR-3_p1.corems.csv",8483,3720,4763
"RC2_0117_ICR-1_p1.corems.csv",9255,4156,5099
"RC2_0117_ICR-2_p1.corems.csv",9314,4229,5085
"RC2_0117_ICR-3_p1.corems.csv",9768,4426,5342
"RC2_0118_ICR-1_p1.corems.csv",8342,3709,4633
"RC2_0118_ICR-2_p1.corems.csv",8015,3675,4340
"RC2_0118_ICR-3_p1.corems.csv",8365,3744,4621
"RC2_0119_ICR-1_p1.corems.csv",8408,3333,5075
"RC2_0119_ICR-2_p1.corems.csv",8273,3447,4826
"RC2_0119_ICR-3_p1.corems.csv",7681,3147,4534
"RC2_0120_ICR-1_p1.corems.csv",9622,3846,5776
"RC2_0120_ICR-2_p1.corems.csv",8379,3304,5075
"RC2_0120_ICR-3_p1.corems.csv",11033,4555,6478
"RC2_0121_ICR-1_p1.corems.csv",10212,4141,6071
"RC2_0121_ICR-2_p1.corems.csv",11000,4477,6523
"RC2_0121_ICR-3_p1.corems.csv",9232,3683,5549
"RC2_0122_ICR-1_p1.corems.csv",9609,4148,5461
"RC2_0122_ICR-2_p1.corems.csv",10191,4464,5727
"RC2_0122_ICR-3_p1.corems.csv",9958,4378,5580
"RC2_0123_ICR-1_p1.corems.csv",9461,4312,5149
"RC2_0123_ICR-2_p1.corems.csv",9338,4335,5003
"RC2_0123_ICR-3_p1.corems.csv",7983,3687,4296
"RC2_0124_ICR-1_p1.corems.csv",9970,4542,5428
"RC2_0124_ICR-2_p1.corems.csv",8185,3510,4675
"RC2_0124_ICR-3_p1.corems.csv",9353,4238,5115
"RC2_0125_ICR-1_p1.corems.csv",8892,3640,5252
"RC2_0125_ICR-2_p1.corems.csv",8607,3482,5125
"RC2_0125_ICR-3_p1.corems.csv",8516,3528,4988
"RC2_0126_ICR-1_p1.corems.csv",9191,3783,5408
"RC2_0126_ICR-2_p3.corems.csv",8466,3491,4975
"RC2_0127_ICR-1_p1.corems.csv",8327,3309,5018
"RC2_0127_ICR-2_p1.corems.csv",11317,4546,6771
"RC2_0127_ICR-3_p1.corems.csv",9982,4177,5805
"RC2_0128_ICR-1_p1.corems.csv",9098,3909,5189
"RC2_0128_ICR-2_p1.corems.csv",10298,4417,5881
"RC2_0128_ICR-3_p1.corems.csv",8942,3835,5107
"RC2_0129_ICR-1_p1.corems.csv",8320,3755,4565
"RC2_0129_ICR-2_p1.corems.csv",8555,3829,4726
"RC2_0129_ICR-3_p1.corems.csv",8499,3972,4527
"RC2_0130_ICR-1_p1.corems.csv",9027,4085,4942
"RC2_0130_ICR-2_p1.corems.csv",9266,4154,5112
"RC2_0130_ICR-3_p1.corems.csv",9413,4196,5217
"RC2_0131_ICR-1_p1.corems.csv",8280,3449,4831
"RC2_0131_ICR-2_p1.corems.csv",9193,3824,5369
"RC2_0131_ICR-3_p1.corems.csv",7741,3271,4470
"RC2_0132_ICR-1_p1.corems.csv",9274,3723,5551
"RC2_0132_ICR-2_p1.corems.csv",8503,3293,5210
"RC2_0132_ICR-3_p1.corems.csv",9951,4014,5937
"RC2_0133_ICR-1_p1.corems.csv",7336,2951,4385
"RC2_0133_ICR-2_p1.corems.csv",9984,3996,5988
"RC2_0133_ICR-3_p1.corems.csv",8244,3330,4914
"RC2_0134_ICR-1_p1.corems.csv",8182,3499,4683
"RC2_0134_ICR-2_p1.corems.csv",8732,3770,4962
"RC2_0134_ICR-3_p1.corems.csv",9477,4181,5296
"RC2_0135_ICR-1_p1.corems.csv",9605,4301,5304
"RC2_0135_ICR-2_p1.corems.csv",8607,3753,4854
"RC2_0135_ICR-3_p1.corems.csv",9468,4262,5206
"RC2_0136_ICR-1_p1.corems.csv",9467,4167,5300
"RC2_0136_ICR-2_p1.corems.csv",9244,4121,5123
"RC2_0136_ICR-3_p1.corems.csv",9564,4346,5218
"RC2_0137_ICR-1_p1.corems.csv",8670,3437,5233
"RC2_0137_ICR-2_p1.corems.csv",9047,3615,5432
"RC2_0137_ICR-3_p1.corems.csv",11157,4608,6549
"RC2_0138_ICR-1_p1.corems.csv",9928,3938,5990
"RC2_0138_ICR-2_p1.corems.csv",10643,4176,6467
"RC2_0138_ICR-3_p1.corems.csv",10350,4113,6237
"RC2_0139_ICR-1_p1.corems.csv",10364,4134,6230
"RC2_0139_ICR-2_p1.corems.csv",9637,3701,5936
"RC2_0139_ICR-3_p1.corems.csv",9982,4031,5951
"RC2_0140_ICR-1_p1.corems.csv",8279,3507,4772
"RC2_0140_ICR-2_p1.corems.csv",9511,4137,5374
"RC2_0140_ICR-3_p1.corems.csv",9845,4216,5629
"RC2_0141_ICR-1_p1.corems.csv",9175,4187,4988
"RC2_0141_ICR-2_p1.corems.csv",9725,4308,5417
"RC2_0141_ICR-3_p1.corems.csv",9292,4298,4994
"RC2_0142_ICR-1_p1.corems.csv",9523,4242,5281
"RC2_0142_ICR-2_p1.corems.csv",9483,4281,5202
"RC2_0142_ICR-3_p1.corems.csv",8775,3920,4855
"RC2_0143_ICR-1_p1.corems.csv",10391,4097,6294
"RC2_0143_ICR-2_p1.corems.csv",9964,3914,6050
"RC2_0143_ICR-3_p1.corems.csv",10325,4143,6182
"RC2_0144_ICR-1_p1.corems.csv",10157,3886,6271
"RC2_0144_ICR-2_p1.corems.csv",10747,4342,6405
"RC2_0144_ICR-3_p1.corems.csv",10731,4234,6497
"RC2_0145_ICR-1_p1.corems.csv",10706,4169,6537
"RC2_0145_ICR-2_p1.corems.csv",10971,4401,6570
