Parent_ID,Site_ID,stream_order,basin_area_km2,basin_area_log10,n_reps,mean_richness,se_richness,mean_normalized_transformations,se_normalized_transformations
RC2_0130,T07,7,14144.724900000001,4.1505945053049365,3,4145,32.357379374726875,6.20463125873375,0.10439779301794153
RC2_0131,T06,3,206.20349999999996,2.314296032517752,3,3514.6666666666665,162.97886706905015,8.509422697746507,0.09451811245539347
RC2_0132,T05P,4,383.86440000000005,2.584177837044565,3,3676.6666666666665,209.42009879134758,7.20329614274073,0.1635902428451408
RC2_0133,T42,6,2465.9001000000003,3.391975478221769,3,3425.6666666666665,305.4342991726881,8.073990549908318,0.5605929007843966
RC2_0134,T03,7,8977.068899999998,3.953134558454579,3,3816.6666666666665,198.25432600016015,7.525163803271023,0.4970661965766528
RC2_0135,T02,7,13461.462,4.129092229579795,3,4105.333333333333,176.52604466322936,6.319215582521745,0.42928294028263114
RC2_0136,T07,7,14144.724900000001,4.1505945053049365,3,4211.333333333333,68.63024924267077,6.108684173891683,0.44455592606764693
RC2_0137,T06,3,206.20349999999996,2.314296032517752,3,3886.6666666666665,364.30862984257976,7.860779977000244,0.6796029653182973
RC2_0138,T05P,4,383.86440000000005,2.584177837044565,3,4075.6666666666665,71.19534941116434,5.917412856903763,0.2162647544917563
RC2_0139,T42,6,2465.9001000000003,3.391975478221769,3,3955.3333333333335,130.59649476323798,7.712342280082318,0.32605040635245586
RC2_0140,T03,7,8977.068899999998,3.953134558454579,3,3953.3333333333335,224.32887563674112,6.887169687752294,0.4249231529017715
RC2_0141,T02,7,13461.462,4.129092229579795,3,4264.333333333333,38.77427555022073,6.372399420192903,0.14591010787718905
RC2_0142,T07,7,14144.724900000001,4.1505945053049365,3,4147.666666666667,114.38871350696178,6.639373271505462,0.2241614717762439
RC2_0143,T06,3,206.20349999999996,2.314296032517752,3,4051.3333333333335,69.93886219009032,7.3557710341626885,0.4106283051929331
RC2_0144,T05P,4,383.86440000000005,2.584177837044565,3,4154,137.5790681753587,5.9093456288517165,0.10093617239913914
RC2_0145,T42,6,2465.9001000000003,3.391975478221769,3,4134.666666666667,164.57656104210113,6.812786264336179,0.24194303751824225
RC2_0146,T03,7,8977.068899999998,3.953134558454579,3,3977.6666666666665,360.4239787312221,7.1671384577302,0.6399531690414584
RC2_0147,T02,7,13461.462,4.129092229579795,3,3957,316.231455319254,6.85413238177109,0.40902702662669255
RC2_0148,T07,7,14144.724900000001,4.1505945053049365,3,3960.6666666666665,234.84770478853832,6.698304346403068,0.5237986407893774
