Sample_ID,Parent_ID,your_site_4digit,replicate
RC2_0084_ICR-2,RC2_0084,0084,2
RC2_0084_ICR-3,RC2_0084,0084,3
RC2_0085_ICR-1,RC2_0085,0085,1
RC2_0085_ICR-2,RC2_0085,0085,2
RC2_0085_ICR-3,RC2_0085,0085,3
RC2_0086_ICR-1,RC2_0086,0086,1
RC2_0086_ICR-2,RC2_0086,0086,2
RC2_0086_ICR-3,RC2_0086,0086,3
RC2_0087_ICR-1,RC2_0087,0087,1
RC2_0087_ICR-2,RC2_0087,0087,2
RC2_0087_ICR-3,RC2_0087,0087,3
RC2_0088_ICR-1,RC2_0088,0088,1
RC2_0088_ICR-2,RC2_0088,0088,2
RC2_0088_ICR-3,RC2_0088,0088,3
RC2_0089_ICR-1,RC2_0089,0089,1
RC2_0089_ICR-2,RC2_0089,0089,2
RC2_0089_ICR-3,RC2_0089,0089,3
RC2_0090_ICR-1,RC2_0090,0090,1
RC2_0090_ICR-2,RC2_0090,0090,2
RC2_0090_ICR-3,RC2_0090,0090,3
RC2_0091_ICR-1,RC2_0091,0091,1
RC2_0091_ICR-2,RC2_0091,0091,2
RC2_0091_ICR-3,RC2_0091,0091,3
RC2_0092_ICR-1,RC2_0092,0092,1
RC2_0092_ICR-2,RC2_0092,0092,2
RC2_0092_ICR-3,RC2_0092,0092,3
RC2_0093_ICR-1,RC2_0093,0093,1
RC2_0093_ICR-2,RC2_0093,0093,2
RC2_0093_ICR-3,RC2_0093,0093,3
RC2_0094_ICR-1,RC2_0094,0094,1
RC2_0094_ICR-2,RC2_0094,0094,2
RC2_0094_ICR-3,RC2_0094,0094,3
RC2_0095_ICR-1,RC2_0095,0095,1
RC2_0095_ICR-2,RC2_0095,0095,2
RC2_0095_ICR-3,RC2_0095,0095,3
RC2_0096_ICR-1,RC2_0096,0096,1
RC2_0096_ICR-2,RC2_0096,0096,2
RC2_0096_ICR-3,RC2_0096,0096,3
RC2_0097_ICR-1,RC2_0097,0097,1
RC2_0097_ICR-2,RC2_0097,0097,2
RC2_0097_ICR-3,RC2_0097,0097,3
RC2_0098_ICR-1,RC2_0098,0098,1
RC2_0098_ICR-2,RC2_0098,0098,2
RC2_0098_ICR-3,RC2_0098,0098,3
RC2_0099_ICR-1,RC2_0099,0099,1
RC2_0099_ICR-2,RC2_0099,0099,2
RC2_0099_ICR-3,RC2_0099,0099,3
RC2_0100_ICR-1,RC2_0100,NA,1
RC2_0100_ICR-2,RC2_0100,NA,2
RC2_0100_ICR-3,RC2_0100,NA,3
RC2_0101_ICR-1,RC2_0101,NA,1
RC2_0101_ICR-2,RC2_0101,NA,2
RC2_0101_ICR-3,RC2_0101,NA,3
RC2_0103_ICR-1,RC2_0103,NA,1
RC2_0103_ICR-2,RC2_0103,NA,2
RC2_0103_ICR-3,RC2_0103,NA,3
RC2_0104_ICR-1,RC2_0104,NA,1
RC2_0104_ICR-2,RC2_0104,NA,2
RC2_0104_ICR-3,RC2_0104,NA,3
RC2_0105_ICR-1,RC2_0105,NA,1
RC2_0105_ICR-2,RC2_0105,NA,2
RC2_0105_ICR-3,RC2_0105,NA,3
RC2_0106_ICR-1,RC2_0106,NA,1
RC2_0106_ICR-2,RC2_0106,NA,2
RC2_0106_ICR-3,RC2_0106,NA,3
RC2_0107_ICR-1,RC2_0107,NA,1
RC2_0107_ICR-2,RC2_0107,NA,2
RC2_0107_ICR-3,RC2_0107,NA,3
RC2_0108_ICR-1,RC2_0108,NA,1
RC2_0108_ICR-2,RC2_0108,NA,2
RC2_0108_ICR-3,RC2_0108,NA,3
RC2_0109_ICR-1,RC2_0109,NA,1
RC2_0109_ICR-2,RC2_0109,NA,2
RC2_0109_ICR-3,RC2_0109,NA,3
RC2_0110_ICR-1,RC2_0110,NA,1
RC2_0110_ICR-2,RC2_0110,NA,2
RC2_0110_ICR-3,RC2_0110,NA,3
RC2_0111_ICR-1,RC2_0111,NA,1
RC2_0111_ICR-2,RC2_0111,NA,2
RC2_0111_ICR-3,RC2_0111,NA,3
RC2_0112_ICR-1,RC2_0112,NA,1
RC2_0112_ICR-2,RC2_0112,NA,2
RC2_0112_ICR-3,RC2_0112,NA,3
RC2_0113_ICR-1,RC2_0113,NA,1
RC2_0113_ICR-2,RC2_0113,NA,2
RC2_0113_ICR-3,RC2_0113,NA,3
RC2_0114_ICR-1,RC2_0114,NA,1
RC2_0114_ICR-2,RC2_0114,NA,2
RC2_0114_ICR-3,RC2_0114,NA,3
RC2_0115_ICR-1,RC2_0115,NA,1
RC2_0115_ICR-2,RC2_0115,NA,2
RC2_0115_ICR-3,RC2_0115,NA,3
RC2_0116_ICR-1,RC2_0116,NA,1
RC2_0116_ICR-2,RC2_0116,NA,2
RC2_0116_ICR-3,RC2_0116,NA,3
RC2_0117_ICR-1,RC2_0117,NA,1
RC2_0117_ICR-2,RC2_0117,NA,2
RC2_0117_ICR-3,RC2_0117,NA,3
RC2_0118_ICR-1,RC2_0118,NA,1
RC2_0118_ICR-2,RC2_0118,NA,2
RC2_0118_ICR-3,RC2_0118,NA,3
RC2_0119_ICR-1,RC2_0119,NA,1
RC2_0119_ICR-2,RC2_0119,NA,2
RC2_0119_ICR-3,RC2_0119,NA,3
RC2_0120_ICR-1,RC2_0120,NA,1
RC2_0120_ICR-2,RC2_0120,NA,2
RC2_0120_ICR-3,RC2_0120,NA,3
RC2_0121_ICR-1,RC2_0121,NA,1
RC2_0121_ICR-2,RC2_0121,NA,2
RC2_0121_ICR-3,RC2_0121,NA,3
RC2_0122_ICR-1,RC2_0122,NA,1
RC2_0122_ICR-2,RC2_0122,NA,2
RC2_0122_ICR-3,RC2_0122,NA,3
RC2_0123_ICR-1,RC2_0123,NA,1
RC2_0123_ICR-2,RC2_0123,NA,2
RC2_0123_ICR-3,RC2_0123,NA,3
RC2_0124_ICR-1,RC2_0124,NA,1
RC2_0124_ICR-2,RC2_0124,NA,2
RC2_0124_ICR-3,RC2_0124,NA,3
RC2_0125_ICR-1,RC2_0125,NA,1
RC2_0125_ICR-2,RC2_0125,NA,2
RC2_0125_ICR-3,RC2_0125,NA,3
RC2_0126_ICR-1,RC2_0126,NA,1
