Sample_ID,number_of_peaks,total_transformations,normalized_transformations,replicate,Parent_ID,your_site_4digit,Site_ID,stream_order,basin_area_km2,basin_area_log10
RC2_0009_ICR-1,4305,26783,6.2213704994192804,1,RC2_0009,0009,T42,6,2465.9001000000003,3.391975478221769
RC2_0009_ICR-2,4500,26232,5.8293333333333335,2,RC2_0009,0009,T42,6,2465.9001000000003,3.391975478221769
RC2_0009_ICR-3,4461,26541,5.949562878278413,3,RC2_0009,0009,T42,6,2465.9001000000003,3.391975478221769
RC2_0010_ICR-1,4398,27093,6.160300136425648,1,RC2_0010,0010,T03,7,8977.068899999998,3.953134558454579
RC2_0010_ICR-2,4503,26105,5.797246280257606,2,RC2_0010,0010,T03,7,8977.068899999998,3.953134558454579
RC2_0010_ICR-3,4250,27398,6.446588235294118,3,RC2_0010,0010,T03,7,8977.068899999998,3.953134558454579
RC2_0011_ICR-1,4528,24822,5.4818904593639575,1,RC2_0011,0011,T02,7,13461.462,4.129092229579795
RC2_0011_ICR-2,4629,24286,5.24648952257507,2,RC2_0011,0011,T02,7,13461.462,4.129092229579795
RC2_0011_ICR-3,4172,28743,6.889501438159156,3,RC2_0011,0011,T02,7,13461.462,4.129092229579795
RC2_0012_ICR-1,4259,26662,6.26015496595445,1,RC2_0012,0012,T07,7,14144.724900000001,4.1505945053049365
RC2_0012_ICR-2,4535,25113,5.537596471885336,2,RC2_0012,0012,T07,7,14144.724900000001,4.1505945053049365
RC2_0012_ICR-3,4430,24107,5.44176072234763,3,RC2_0012,0012,T07,7,14144.724900000001,4.1505945053049365
RC2_0013_ICR-1,4219,26501,6.281346290590188,1,RC2_0013,0013,T06,3,206.20349999999996,2.314296032517752
RC2_0013_ICR-2,4024,23147,5.7522365805168985,2,RC2_0013,0013,T06,3,206.20349999999996,2.314296032517752
RC2_0013_ICR-3,3810,23212,6.092388451443569,3,RC2_0013,0013,T06,3,206.20349999999996,2.314296032517752
RC2_0014_ICR-1,4238,21441,5.059226050023596,1,RC2_0014,0014,T05P,4,383.86440000000005,2.584177837044565
RC2_0014_ICR-2,4163,20123,4.83377372087437,2,RC2_0014,0014,T05P,4,383.86440000000005,2.584177837044565
RC2_0014_ICR-3,4416,22705,5.141530797101449,3,RC2_0014,0014,T05P,4,383.86440000000005,2.584177837044565
RC2_0015_ICR-1,4603,26724,5.80577883988703,1,RC2_0015,0015,T42,6,2465.9001000000003,3.391975478221769
RC2_0015_ICR-2,4319,24827,5.748321370687659,2,RC2_0015,0015,T42,6,2465.9001000000003,3.391975478221769
RC2_0015_ICR-3,4313,21715,5.034778576396939,3,RC2_0015,0015,T42,6,2465.9001000000003,3.391975478221769
RC2_0016_ICR-1,4583,27916,6.091206633209688,1,RC2_0016,0016,T03,7,8977.068899999998,3.953134558454579
RC2_0016_ICR-2,4447,21868,4.91747245333933,2,RC2_0016,0016,T03,7,8977.068899999998,3.953134558454579
RC2_0016_ICR-3,4640,27397,5.904525862068965,3,RC2_0016,0016,T03,7,8977.068899999998,3.953134558454579
RC2_0017_ICR-1,4591,26775,5.832062731431061,1,RC2_0017,0017,T02,7,13461.462,4.129092229579795
RC2_0017_ICR-2,4514,23774,5.266725742135578,2,RC2_0017,0017,T02,7,13461.462,4.129092229579795
RC2_0017_ICR-3,4531,24927,5.501434561906864,3,RC2_0017,0017,T02,7,13461.462,4.129092229579795
RC2_0018_ICR-1,4612,25215,5.467259323503903,1,RC2_0018,0018,T07,7,14144.724900000001,4.1505945053049365
RC2_0018_ICR-2,4455,23643,5.307070707070707,2,RC2_0018,0018,T07,7,14144.724900000001,4.1505945053049365
RC2_0018_ICR-3,4563,26428,5.791803637957484,3,RC2_0018,0018,T07,7,14144.724900000001,4.1505945053049365
RC2_0019_ICR-2,3985,28115,7.055207026348808,2,RC2_0019,0019,T06,3,206.20349999999996,2.314296032517752
RC2_0019_ICR-3,4147,26606,6.415722208825657,3,RC2_0019,0019,T06,3,206.20349999999996,2.314296032517752
RC2_0020_ICR-1,4213,21473,5.096843104676003,1,RC2_0020,0020,T05P,4,383.86440000000005,2.584177837044565
RC2_0020_ICR-2,4454,25819,5.796811854512797,2,RC2_0020,0020,T05P,4,383.86440000000005,2.584177837044565
RC2_0020_ICR-3,3967,25591,6.450970506680111,3,RC2_0020,0020,T05P,4,383.86440000000005,2.584177837044565
RC2_0021_ICR-1,4524,27183,6.008620689655173,1,RC2_0021,0021,T42,6,2465.9001000000003,3.391975478221769
RC2_0021_ICR-2,4203,22855,5.437782536283607,2,RC2_0021,0021,T42,6,2465.9001000000003,3.391975478221769
RC2_0021_ICR-3,4284,20709,4.834033613445378,3,RC2_0021,0021,T42,6,2465.9001000000003,3.391975478221769
RC2_0022_ICR-1,4442,25356,5.708239531742459,1,RC2_0022,0022,T03,7,8977.068899999998,3.953134558454579
RC2_0022_ICR-2,4509,27214,6.03548458638279,2,RC2_0022,0022,T03,7,8977.068899999998,3.953134558454579
RC2_0022_ICR-3,4567,26546,5.81256842566236,3,RC2_0022,0022,T03,7,8977.068899999998,3.953134558454579
RC2_0023_ICR-1,4451,24834,5.57942035497641,1,RC2_0023,0023,T02,7,13461.462,4.129092229579795
RC2_0023_ICR-2,4458,25702,5.765365634813818,2,RC2_0023,0023,T02,7,13461.462,4.129092229579795
RC2_0023_ICR-3,4374,24766,5.66209419295839,3,RC2_0023,0023,T02,7,13461.462,4.129092229579795
RC2_0024_ICR-1,4292,21814,5.082479030754893,1,RC2_0024,0024,T07,7,14144.724900000001,4.1505945053049365
RC2_0024_ICR-2,4536,27730,6.11331569664903,2,RC2_0024,0024,T07,7,14144.724900000001,4.1505945053049365
RC2_0024_ICR-3,4363,24947,5.717854687141875,3,RC2_0024,0024,T07,7,14144.724900000001,4.1505945053049365
RC2_0025_ICR-1,4135,25998,6.287303506650544,1,RC2_0025,0025,T06,3,206.20349999999996,2.314296032517752
RC2_0025_ICR-2,4002,24567,6.138680659670165,2,RC2_0025,0025,T06,3,206.20349999999996,2.314296032517752
RC2_0025_ICR-3,4095,26438,6.456166056166056,3,RC2_0025,0025,T06,3,206.20349999999996,2.314296032517752
RC2_0026_ICR-1,4249,23152,5.448811485055307,1,RC2_0026,0026,T05P,4,383.86440000000005,2.584177837044565
RC2_0026_ICR-2,4255,22625,5.317273795534665,2,RC2_0026,0026,T05P,4,383.86440000000005,2.584177837044565
RC2_0026_ICR-3,4205,23414,5.568133174791915,3,RC2_0026,0026,T05P,4,383.86440000000005,2.584177837044565
RC2_0027_ICR-1,4069,22727,5.585401818628656,1,RC2_0027,0027,T42,6,2465.9001000000003,3.391975478221769
RC2_0027_ICR-2,3927,23344,5.944486885663356,2,RC2_0027,0027,T42,6,2465.9001000000003,3.391975478221769
RC2_0027_ICR-3,4060,23161,5.704679802955665,3,RC2_0027,0027,T42,6,2465.9001000000003,3.391975478221769
RC2_0028_ICR-1,4353,24589,5.648747989892028,1,RC2_0028,0028,T03,7,8977.068899999998,3.953134558454579
RC2_0028_ICR-2,4453,27084,6.082191780821918,2,RC2_0028,0028,T03,7,8977.068899999998,3.953134558454579
RC2_0028_ICR-3,4247,22906,5.3934542029668,3,RC2_0028,0028,T03,7,8977.068899999998,3.953134558454579
RC2_0029_ICR-1,4419,28356,6.41683638832315,1,RC2_0029,0029,T02,7,13461.462,4.129092229579795
RC2_0029_ICR-2,4303,25603,5.950034859400418,2,RC2_0029,0029,T02,7,13461.462,4.129092229579795
RC2_0029_ICR-3,4570,27069,5.9231947483588625,3,RC2_0029,0029,T02,7,13461.462,4.129092229579795
RC2_0030_ICR-1,4644,27660,5.956072351421189,1,RC2_0030,0030,T07,7,14144.724900000001,4.1505945053049365
RC2_0030_ICR-2,4449,28129,6.322544391998202,2,RC2_0030,0030,T07,7,14144.724900000001,4.1505945053049365
RC2_0030_ICR-3,4308,21423,4.972841225626741,3,RC2_0030,0030,T07,7,14144.724900000001,4.1505945053049365
