SampleID,num_peak,n_transformations,normalized_transformations
RC2_0032_ICR-2,4372,25726,5.884263494967978
RC2_0032_ICR-3,4176,25272,6.051724137931035
RC2_0033_ICR-1,4510,25936,5.750776053215078
RC2_0033_ICR-2,4491,26494,5.899354264083723
RC2_0033_ICR-3,4326,25826,5.969949144706426
RC2_0034_ICR-1,4132,28145,6.811471442400775
RC2_0034_ICR-2,4608,27480,5.963541666666667
RC2_0034_ICR-3,4649,29654,6.378576037857604
RC2_0035_ICR-1,4672,28355,6.069135273972603
RC2_0035_ICR-2,4404,25736,5.84377838328792
RC2_0035_ICR-3,4849,28763,5.931738502784079
RC2_0036_ICR-1,4586,28943,6.311164413432185
RC2_0036_ICR-2,4693,28953,6.16940123588323
RC2_0036_ICR-3,4118,30252,7.346284604176785
RC2_0037_ICR-1,4821,27090,5.619166148102053
RC2_0037_ICR-2,4560,28271,6.199780701754386
RC2_0037_ICR-3,4554,26207,5.754721124286342
RC2_0038_ICR-1,4606,24794,5.382978723404255
RC2_0038_ICR-2,4116,23742,5.7682215743440235
RC2_0038_ICR-3,4386,25909,5.907204742362061
RC2_0039_ICR-1,4710,25662,5.448407643312102
RC2_0039_ICR-2,4254,30800,7.240244475787494
RC2_0039_ICR-3,4852,26248,5.4097279472382525
RC2_0040_ICR-1,4385,26695,6.0877993158494865
RC2_0040_ICR-2,4196,28999,6.911105815061964
RC2_0040_ICR-3,4683,26810,5.724962630792227
RC2_0041_ICR-1,4692,29372,6.26001705029838
RC2_0041_ICR-2,4606,26949,5.8508467216673905
RC2_0041_ICR-3,3847,26983,7.014036911879386
RC2_0042_ICR-1,4177,28573,6.840555422552071
RC2_0042_ICR-2,4610,29648,6.431236442516269
RC2_0042_ICR-3,3991,27522,6.896016036081183
RC2_0043_ICR-1,4031,26525,6.580253038948152
RC2_0043_ICR-2,3950,27954,7.076962025316456
RC2_0043_ICR-3,3245,26594,8.19537750385208
RC2_0044_ICR-1,4206,28142,6.690917736566809
RC2_0044_ICR-2,3177,29898,9.410764872521247
RC2_0044_ICR-3,4207,26048,6.191585452816734
RC2_0045_ICR-1,4587,31640,6.897754523653804
RC2_0045_ICR-2,4703,29102,6.1879651286412924
RC2_0045_ICR-3,4283,30324,7.080084053233715
RC2_0046_ICR-1,4595,28200,6.137105549510338
RC2_0046_ICR-2,4367,29029,6.647355163727959
RC2_0046_ICR-3,4697,30644,6.524164360229934
RC2_0048_ICR-1,4595,28895,6.288356909684439
RC2_0048_ICR-2,4217,31934,7.5726820014228124
RC2_0048_ICR-3,4794,29527,6.1591572799332495
RC2_0049_ICR-1,4266,29168,6.837318330989217
RC2_0049_ICR-2,4549,30344,6.670477027918224
RC2_0049_ICR-3,4789,27070,5.652537064105241
RC2_0050_ICR-1,4370,31748,7.264988558352402
RC2_0050_ICR-2,4479,30229,6.749051127483813
RC2_0050_ICR-3,4596,29248,6.363794604003481
RC2_0051_ICR-1,4508,27194,6.032386867790595
RC2_0051_ICR-2,4124,23960,5.809893307468477
RC2_0051_ICR-3,4746,27257,5.74315212810788
RC2_0052_ICR-1,4657,27860,5.982392097917114
RC2_0052_ICR-2,4601,26700,5.803086285590089
RC2_0052_ICR-3,3936,33081,8.404725609756097
RC2_0053_ICR-1,4677,32069,6.856745777207612
RC2_0053_ICR-2,4694,31915,6.7991052407328505
RC2_0053_ICR-3,4135,31740,7.6759371221281745
RC2_0054_ICR-1,4354,27498,6.3155718879191545
RC2_0054_ICR-2,4841,28892,5.968188390828341
RC2_0054_ICR-3,4782,30678,6.415307402760352
RC2_0055_ICR-1,4202,29163,6.9402665397429795
RC2_0055_ICR-2,4781,32268,6.749215645262497
RC2_0055_ICR-3,4904,31931,6.511215334420881
RC2_0056_ICR-1,4681,27486,5.871822260200812
RC2_0056_ICR-2,4154,28903,6.957871930669234
RC2_0056_ICR-3,4299,25836,6.009769713886951
RC2_0057_ICR-1,4066,29409,7.23290703393999
RC2_0057_ICR-2,4446,29183,6.563877642825012
RC2_0057_ICR-3,4485,27375,6.103678929765886
RC2_0058_ICR-1,4751,29001,6.104188591875395
RC2_0058_ICR-2,4232,24993,5.905718336483932
RC2_0058_ICR-3,4256,26255,6.168937969924812
RC2_0059_ICR-1,4656,28681,6.160008591065292
RC2_0059_ICR-2,4803,31912,6.644180720383094
RC2_0059_ICR-3,4211,25505,6.05675611493707
RC2_0060_ICR-1,4706,30514,6.484062898427539
RC2_0060_ICR-2,4767,28513,5.98132997692469
