SampleID,num_peak
RC2_0148_ICR-3,4191
RC2_0149_ICR-1,4028
RC2_0149_ICR-2,4285
RC2_0149_ICR-3,4438
RC2_0150_ICR-1,3829
RC2_0150_ICR-2,4204
RC2_0150_ICR-3,3996
RC2_0151_ICR-1,2138
RC2_0151_ICR-1,2828
RC2_0151_ICR-2,4312
RC2_0151_ICR-3,4167
RC2_0152_ICR-1,4289
RC2_0152_ICR-2,4195
RC2_0152_ICR-3,3957
RC2_0153_ICR-2,4453
RC2_0153_ICR-3,4289
RC2_0154_ICR-1,4489
RC2_0154_ICR-2,4488
RC2_0154_ICR-3,4086
RC2_0155_ICR-1,3989
RC2_0155_ICR-2,3986
RC2_0155_ICR-3,4150
RC2_0156_ICR-1,3908
RC2_0156_ICR-2,4224
RC2_0156_ICR-3,4321
RC2_0157_ICR-1,3903
RC2_0157_ICR-2,4129
RC2_0157_ICR-3,4221
RC2_0158_ICR-1,4200
RC2_0158_ICR-2,4211
RC2_0158_ICR-3,3839
RC2_0159_ICR-1,3969
RC2_0159_ICR-2,4281
RC2_0159_ICR-3,4145
RC2_0160_ICR-1,4035
RC2_0160_ICR-2,4263
RC2_0160_ICR-3,4081
RC2_0163_ICR-1,3758
RC2_0163_ICR-2,3977
RC2_0163_ICR-3,4071
RC2_0164_ICR-1,4055
RC2_0164_ICR-2,3068
RC2_0164_ICR-3,3816
RC2_0165_ICR-1,3997
RC2_0165_ICR-2,4187
RC2_0165_ICR-3,4127
RC2_0166_ICR-1,3875
RC2_0166_ICR-2,3910
RC2_0166_ICR-3,2859
RC2_0167_ICR-1,3233
RC2_0167_ICR-2,3989
RC2_0167_ICR-3,4108
RC2_0177_ICR-1,4142
RC2_0177_ICR-2,4132
RC2_0177_ICR-3,4314
RC2_0178_ICR-1,3630
RC2_0178_ICR-2,4076
RC2_0178_ICR-3,4255
RC2_0179_ICR-1,4168
RC2_0179_ICR-3,4192
RC2_0183_ICR-2,3770
RC2_0183_ICR-3,4194
RC2_0184_ICR-1,4012
RC2_0184_ICR-2,4034
RC2_0184_ICR-3,4002
RC2_0187_ICR-1,4343
RC2_0187_ICR-2,4115
RC2_0187_ICR-3,4119
RC2_0188_ICR-1,3723
RC2_0188_ICR-2,4252
RC2_0188_ICR-3,4214
RC2_0189_ICR-1,4101
RC2_0189_ICR-2,4447
RC2_0189_ICR-3,4240
RC2_0190_ICR-1,4002
RC2_0190_ICR-2,4202
RC2_0190_ICR-3,4063
RC2_0191_ICR-1,4318
RC2_0191_ICR-2,3939
RC2_0191_ICR-3,3790
RC2_0192_ICR-1,3817
RC2_0192_ICR-2,1899
RC2_0192_ICR-3,4059
RC2_0193_ICR-1,4442
RC2_0193_ICR-2,4398
RC2_0193_ICR-3,4481
RC2_0194_ICR-1,3352
RC2_0194_ICR-2,4190
RC2_0194_ICR-3,4360
RC2_0195_ICR-1,3940
RC2_0195_ICR-2,3964
RC2_0195_ICR-3,3994
RC2_0196_ICR-1,4337
RC2_0196_ICR-2,4050
RC2_0196_ICR-3,3010
RC2_0197_ICR-1,4135
RC2_0197_ICR-2,4234
RC2_0197_ICR-3,4234
RC2_0198_ICR-1,3936
RC2_0198_ICR-2,4084
RC2_0198_ICR-3,3973
RC2_0199_ICR-1,4198
RC2_0199_ICR-2,4131
RC2_0199_ICR-3,4135
RC2_0200_ICR-1,4654
RC2_0200_ICR-2,4648
RC2_0200_ICR-3,4653
RC2_0201_ICR-1,4365
RC2_0201_ICR-2,4388
RC2_0201_ICR-3,4476
RC2_0202_ICR-1,4660
RC2_0202_ICR-2,4546
RC2_0202_ICR-3,4311
RC2_0203_ICR-1,4458
RC2_0203_ICR-2,4633
RC2_0203_ICR-3,4722
RC2_0204_ICR-1,4636
RC2_0204_ICR-2,4684
RC2_0204_ICR-3,4702
RC2_0205_ICR-1,4839
RC2_0205_ICR-2,4742
RC2_0205_ICR-3,4517
RC2_0206_ICR-1,4588
RC2_0206_ICR-2,4245
RC2_0206_ICR-3,3960
RC2_0207_ICR-1,4277
RC2_0207_ICR-2,4212
RC2_0207_ICR-3,4473
RC2_0208_ICR-1,4475
RC2_0208_ICR-2,4462
RC2_0208_ICR-3,4497
RC2_0209_ICR-1,4532
RC2_0209_ICR-2,4621
RC2_0209_ICR-3,4660
RC2_0210_ICR-1,4826
RC2_0210_ICR-2,4696
RC2_0210_ICR-3,4629
RC2_0211_ICR-1,4499
RC2_0211_ICR-2,4554
RC2_0211_ICR-3,4732
