"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S","15N"
3894,487.234705,487.23322996316,487.233090136316,2324566.5,NA,177726.6,9.8,-1,0.286981419529937,0.985167292902903,0,0.591100375741742,1,2.10526315789474,0.526315789473684,"N2 S1 O10","de-protonated",0,NA,"C19 H40 O10 S1 N2",19,40,10,2,NA,1,NA,NA,NA,NA,NA,NA
3895,487.248327,487.246851899655,487.246628744561,3212123.5,NA,220103.4,14.33,-1,0.457992074203506,0.962655098095056,0,0.577593058857033,5,1.70833333333333,0.333333333333333,"P1 O8","de-protonated",0,NA,"C24 H41 O8 P1",24,41,8,NA,1,NA,NA,NA,NA,NA,NA,NA
3896,487.256211,487.2547358629,487.254870953038,3385182.5,NA,218419.4,15.21,-1,-0.277247383420435,0.98614955737504,0,0.591689734425024,5,1.66666666666667,0.416666666666667,"O10","de-protonated",0,NA,"C24 H40 O10",24,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3897,488.048625,488.047146168707,488.04706301021,1908865.8,NA,230916.5,7.67,-1,0.170390324022931,0.99474587668113,0,0.596847526008678,15,0.714285714285714,0.619047619047619,"N1 O13","de-protonated",0,NA,"C21 H15 O13 N1",21,15,13,1,NA,NA,NA,NA,NA,NA,NA,NA
3900,488.084712,488.083233000472,488.083448519594,2510479,NA,204229.6,10.74,-1,-0.441562038976283,0.965240171015,0,0.579144102609,14,0.863636363636364,0.545454545454545,"N1 O12","de-protonated",0,NA,"C22 H19 O12 N1",22,19,12,1,NA,NA,NA,NA,NA,NA,NA,NA
3911,488.25152,488.250040222821,488.250119925231,1846476.1,NA,269928.8,7.13,-1,-0.163240942086546,0.995176497679278,0,0.597105898607566,5,1.69565217391304,0.434782608695652,"N1 O10","de-protonated",0,NA,"C23 H39 O10 N1",23,39,10,1,NA,NA,NA,NA,NA,NA,NA,NA
3912,489.032477,489.030993582041,489.031078593111,3036137.5,NA,201078.4,13.02,-1,-0.173835720917022,0.994531833088375,0,0.596719099853025,15,0.666666666666667,0.666666666666667,"O14","de-protonated",0,NA,"C21 H14 O14",21,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
3913,489.068778,489.067294412807,489.067464102495,10075639,NA,203044.2,47.88,-1,-0.346965807714596,0.984379083938853,0.987931913498192,0.985800215762589,14,0.818181818181818,0.590909090909091,"O13","de-protonated",0,NA,"C22 H18 O13",22,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
3914,489.081729,489.08024535243,489.080218320336,9700860,NA,194184.6,46.02,-1,0.0552712906947441,0.994620789468516,0.951856790013489,0.977515189686505,22,0.6,0.166666666666667,"S1 O5","de-protonated",0,NA,"C30 H18 O5 S1",30,18,5,NA,NA,1,NA,NA,NA,NA,NA,NA
3915,489.089792,489.088308314841,489.088080406258,3637758.5,NA,219098.5,16,-1,0.465986787480254,0.480682833037388,0.741475186234395,0.584999774316191,27,0.4375,0.125,"N2 O4","de-protonated",0,NA,"C32 H14 O4 N2",32,14,4,2,NA,NA,NA,NA,NA,NA,NA,NA
3916,489.099406,489.097922270021,489.097976385065,5473794,NA,187031.4,25.09,-1,-0.11064254267476,0.498890605832576,0.753652554121787,0.600795385148261,22,0.6,0.233333333333333,"O7","de-protonated",0,NA,"C30 H18 O7",30,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3917,489.105138,489.103654243299,489.103849611879,12776964,NA,200835.4,61.26,-1,-0.399441919406059,0.485732112213724,0.799615297578637,0.611285386359689,13,0.956521739130435,0.521739130434783,"O12","de-protonated",0,NA,"C23 H22 O12",23,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
3918,489.1182,489.116716182405,489.11660382972,22599176,NA,207875.4,109.9,-1,0.229705317477848,0.651327044252511,0.897870254558528,0.749944328374918,21,0.709677419354839,0.129032258064516,"S1 O4","de-protonated",0,NA,"C31 H22 O4 S1",31,22,4,NA,NA,1,NA,NA,NA,NA,NA,NA
3919,489.126237,489.124753144937,489.124978979979,3931659.8,NA,230983.8,17.45,-1,-0.461712347513092,0.96205763255931,0,0.577234579535586,8,1.3,0.7,"O14","de-protonated",0,NA,"C20 H26 O14",20,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
3920,489.13594,489.134456099702,489.134361894449,9768463,NA,196988.1,46.36,-1,0.192595858648939,0.496646046553801,0.747514279669976,0.596993339800271,21,0.709677419354839,0.193548387096774,"O6","de-protonated",0,NA,"C31 H22 O6",31,22,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3921,489.141532,489.140048073632,489.140235121264,18007570,NA,205120.3,87.16,-1,-0.382400829593802,0.981627546804821,0.984528308033362,0.982787851296237,12,1.08333333333333,0.458333333333333,"O11","de-protonated",0,NA,"C24 H26 O11",24,26,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
3922,489.15464,489.153156012523,489.152989339104,23516694,NA,203577.4,114.44,-1,0.340738833669804,0.650456064334782,0.920160443560359,0.758337816025013,20,0.8125,0.09375,"S1 O3","de-protonated",0,NA,"C32 H26 O3 S1",32,26,3,NA,NA,1,NA,NA,NA,NA,NA,NA
3923,489.162617,489.161132975335,489.161364489363,3376665,NA,214319.7,14.71,-1,-0.473287640863545,0.960170196860043,0,0.576102118116026,7,1.42857142857143,0.619047619047619,"O13","de-protonated",0,NA,"C21 H30 O13",21,30,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
3924,489.172387,489.170902929788,489.170747403833,6712860.5,NA,188049.9,31.23,-1,0.317937969562132,0.490912762634476,0.741475186234394,0.591137732074443,20,0.8125,0.15625,"O5","de-protonated",0,NA,"C32 H26 O5",32,26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3925,489.177974,489.176489903741,489.176620630648,13977119,NA,204733.8,67.2,-1,-0.267238664212856,0.98273855116912,0.979802540719436,0.981564146989246,11,1.2,0.4,"O10","de-protonated",0,NA,"C25 H30 O10",25,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3926,489.191034,489.189549842856,489.189374848488,14100003,NA,205178.9,67.81,-1,0.357723157753232,0.969031127984247,0.981055427663049,0.973840847855768,19,0.909090909090909,0.0606060606060606,"S1 O2","de-protonated",0,NA,"C33 H30 O2 S1",33,30,2,NA,NA,1,NA,NA,NA,NA,NA,NA
3927,489.199026,489.197541805598,489.197749998747,2074150.3,NA,241341.7,8.26,-1,-0.425580758245086,0.967670346046197,0,0.580602207627718,6,1.54545454545455,0.545454545454545,"O12","de-protonated",0,NA,"C22 H34 O12",22,34,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
3928,489.208835,489.207350759869,489.207132913218,2459177.8,NA,210780.1,10.16,-1,0.445305549612746,0.964658876444994,0,0.578795325866996,19,0.909090909090909,0.121212121212121,"O4","de-protonated",0,NA,"C33 H30 O4",33,30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
3929,489.21428,489.212795734485,489.213006140032,6682156,NA,214017.2,31.07,-1,-0.43008984852003,0.971157380337076,0.982864392104165,0.975840185043911,10,1.30769230769231,0.346153846153846,"O9","de-protonated",0,NA,"C26 H34 O9",26,34,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3930,489.227408,489.225923673283,489.225760357873,8146480.5,NA,217318.2,38.33,-1,0.333824224076963,0.989186346361494,0.984300342862583,0.98723194496193,18,1,0.0294117647058824,"S1 O1","de-protonated",0,NA,"C34 H34 O1 S1",34,34,1,NA,NA,1,NA,NA,NA,NA,NA,NA
3931,489.235391,489.233906636066,489.234135508132,2043955.6,NA,211509.4,8.11,-1,-0.467817040660051,0.961067579842606,0,0.576640547905564,5,1.65217391304348,0.478260869565217,"O11","de-protonated",0,NA,"C23 H38 O11",23,38,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
3932,489.263616,489.262131504483,489.262278809039,2689597.8,NA,220020.3,11.3,-1,-0.301074826713787,0.983686916423729,0,0.590212149854237,4,1.79166666666667,0.333333333333333,"P1 O8","de-protonated",0,NA,"C24 H43 O8 P1",24,43,8,NA,1,NA,NA,NA,NA,NA,NA,NA
3933,489.271975,489.270490465514,489.270521017516,2058304.9,NA,172693.6,8.18,-1,-0.0624439877944842,0.999292736146535,0,0.599575641687921,4,1.75,0.416666666666667,"O10","de-protonated",0,NA,"C24 H42 O10",24,42,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3936,490.10053,490.099041602833,490.099098584072,2711918,NA,192407.2,11.41,-1,-0.116264729067427,0.997550275186012,0,0.598530165111607,13,0.954545454545455,0.545454545454545,"N1 O12","de-protonated",0,NA,"C22 H21 O12 N1",22,21,12,1,NA,NA,NA,NA,NA,NA,NA,NA
3937,490.108428,490.106939566013,490.106981896805,3206000.8,NA,233193.3,13.86,-1,-0.0863705139720656,0.998647332851655,0,0.599188399710993,16,0.962962962962963,0.0740740740740741,"N1 S2 P1 O2","de-protonated",0,NA,"C27 H26 O2 S2 N1 P1",27,26,2,1,1,2,NA,NA,NA,NA,NA,NA
3939,490.136935,490.135446433115,490.135484093457,2339195.3,NA,138058.4,9.57,-1,-0.0768365944846378,0.998929325531569,0,0.599357595318941,12,1.08695652173913,0.478260869565217,"N1 O11","de-protonated",0,NA,"C23 H25 O11 N1",23,25,11,1,NA,NA,NA,NA,NA,NA,NA,NA
3942,490.173428,490.171939262987,490.171869602841,2344840.5,NA,156066.8,9.59,-1,0.142113715885225,0.996342112829529,0,0.597805267697717,11,1.20833333333333,0.416666666666667,"N1 O10","de-protonated",0,NA,"C24 H29 O10 N1",24,29,10,1,NA,NA,NA,NA,NA,NA,NA,NA
