Site_ID,Site_Name,Parent_ID,Field_Staff,Date,Time_Zone,Time_Arriving,Time_Leaving,Latitude,Longitude,Notes
T03,Yakima at Union Gap,RC2_0152,Lupita_Renteria; Sophia McKever, 2021-11-18,PST,11:02:00,11:29:00,46.530817,-120.470337,Cloudy; water is high and turbid
T02,Yakima at Mabton,RC2_0153,Lupita_Renteria; Sophia McKever, 2021-11-18,PST,9:45:00,10:13:00,46.232095,-119.999901,The water was super high and very turbid. Cloudy.
T07,Yakima at Kiona,RC2_0154,Lupita_Renteria; Sophia McKever, 2021-11-18,PST,7:58:00,8:30:00,46.255319,-119.47405,Water is super high and very turbid; and light rain
T06,American River,RC2_0155,Sophia_McKever; Josh_Torgeson, 2021-12-02,PST,14:05:00,14:26:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0156,Sophia_McKever; Josh_Torgeson, 2021-12-02,PST,13:33:00,13:55:00,46.98904,-121.09921,N/A
T42,Naches River Craig Road 2,RC2_0157,Sophia_McKever; Josh_Torgeson, 2021-12-02,PST,12:17:00,12:43:00,46.72895,-120.71431,N/A
T03,Yakima at Union Gap,RC2_0158,Sophia_McKever; Josh_Torgeson, 2021-12-02,PST,11:10:00,11:40:00,46.530817,-120.470337,Couple of dogs ran into water near the sensors
T02,Yakima at Mabton,RC2_0159,Sophia_McKever; Josh_Torgeson, 2021-12-02,PST,9:42:00,10:15:00,46.232095,-119.999901,Salmon still floating in water near sampling area
T07,Yakima at Kiona,RC2_0160,Sophia_McKever; Josh_Torgeson, 2021-12-02,PST,8:20:00,9:02:00,46.255319,-119.47405,N/A
T42,Naches River Craig Road 2,RC2_0163,Stephanie_Fulton; Josh_Torgeson, 2021-12-13,PST,12:45:00,13:25:00,46.72895,-120.71431,34 degrees F and snowing;  River is receding; clean and cold.
T03,Yakima at Union Gap,RC2_0164,Stephanie_Fulton; Josh_Torgeson, 2021-12-13,PST,11:10:00,11:45:00,46.530817,-120.470337,36 degrees F and raining lightly; River level has receded in 10 inches since 2 weeks ago.
T02,Yakima at Mabton,RC2_0165,Stephanie_Fulton; Josh_Torgeson, 2021-12-13,PST,9:19:00,10:14:00,46.232095,-119.999901,37 F and overcast skies and very slight breeze. River is about 1ft lower than 2 weeks ago w/ silt deposits on river bed. 
T07,Yakima at Kiona,RC2_0166,Stephanie_Fulton; Josh_Torgeson, 2021-12-13,PST,8:00:00,8:40:00,46.255319,-119.47405,36 degrees F with low clouds. River has receded from previous high water levels. cold and relatively clear
T07,Yakima at Kiona,RC2_0167,Lupita_Renteria; Sophia_McKever, 2021-12-30,PST,9:00:00,10:00:00,46.255319,-119.47405,Snowy conditions. There is ice near the edge of the bank. Some snow might have gotten into the DIC samples.
T02,Yakima at Mabton,RC2_0177,Lupita_Renteria; Sophia_McKever, 2022-01-13,PST,9:35:00,9:55:00,46.232095,-119.999901,Raining During Sampling
T07,Yakima at Kiona,RC2_0178,Lupita_Renteria; Sophia_McKever, 2022-01-13,PST,8:34:00,8:52:00,46.255319,-119.47405,It is foggy and overcast. A lot of litter near the shore.
T03,Yakima at Union Gap,RC2_0179,Lupita_Renteria; Josh_Torgeson, 2022-01-27,PST,10:40:00,11:15:00,46.530817,-120.470337,A lot of ice and snow near the bank.
T02,Yakima at Mabton,RC2_0183,Lupita_Renteria; Josh_Torgeson, 2022-01-27,PST,9:17:00,9:45:00,46.232095,-119.999901,Slight rain at time of sampling.
T07,Yakima at Kiona,RC2_0184,Lupita_Renteria; Josh_Torgeson, 2022-01-27,PST,8:10:00,8:35:00,46.255319,-119.47405,Overcast
T42,Naches River Craig Road 2,RC2_0187,Sophia_McKever; Josh_Torgeson, 2022-02-10,PST,11:04:00,11:29:00,46.72895,-120.71431,N/A
T03,Yakima at Union Gap,RC2_0188,Sophia_McKever; Josh_Torgeson, 2022-02-10,PST,12:53:00,13:19:00,46.530817,-120.470337,N/A
T02,Yakima at Mabton,RC2_0189,Sophia_McKever; Josh_Torgeson, 2022-02-10,PST,14:10:00,14:55:00,46.232095,-119.999901,N/A
T07,Yakima at Kiona,RC2_0190,Sophia_McKever; Josh_Torgeson, 2022-02-10,PST,15:13:00,15:40:00,46.255319,-119.47405,N/A
T07,Yakima at Kiona,RC2_0191,Lupita_Renteria; Josh_Torgeson, 2022-03-01,PST,9:15:00,9:40:00,46.255319,-119.47405,N/A
T02,Yakima at Mabton,RC2_0192,Lupita_Renteria; Josh_Torgeson, 2022-03-01,PST,10:45:00,11:10:00,46.232095,-119.999901,Very windy. The water was super turbid.
T42,Naches River Craig Road 2,RC2_0193,Lupita_Renteria; Josh_Torgeson, 2022-03-01,PST,13:40:00,14:02:00,46.72895,-120.71431,Water is very turbulent and turbid. It started to lightly rain during sampling.
T03,Yakima at Union Gap,RC2_0194,Lupita_Renteria; Josh_Torgeson, 2022-03-01,PST,15:15:00,15:45:00,46.530817,-120.470337,The water levee is high; turbulent and turbid. It was windy
T05P,Little Naches at Nile,RC2_0195,Lupita_Renteria; Sophia_McKever, 2022-03-10,PST,11:00:00,11:25:00,46.98904,-121.09921,N/A
T42,Naches River Craig Road 2,RC2_0196,Lupita_Renteria; Sophia_McKever, 2022-03-10,PST,12:20:00,12:40:00,46.72895,-120.71431,N/A
T03,Yakima at Union Gap,RC2_0197,Lupita_Renteria; Sophia_McKever, 2022-03-10,PST,13:20:00,13:45:00,46.530817,-120.470337,N/A
T02,Yakima at Mabton,RC2_0198,Lupita_Renteria; Sophia_McKever, 2022-03-10,PST,14:45:00,15:08:00,46.232095,-119.999901,N/A
T07,Yakima at Kiona,RC2_0199,Lupita_Renteria; Sophia_McKever, 2022-03-10,PST,15:50:00,16:15:00,46.255319,-119.47405,N/A
T06,American River,RC2_0200,Sophia_McKever; Josh_Torgeson, 2022-03-24,PST,9:15:00,9:45:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0201,Sophia_McKever; Josh_Torgeson, 2022-03-24,PST,9:49:00,10:09:00,46.98904,-121.09921,N/A
T42,Naches River Craig Road 2,RC2_0202,Sophia_McKever; Josh_Torgeson, 2022-03-24,PST,10:50:00,11:11:00,46.72895,-120.71431,N/A
T03,Yakima at Union Gap,RC2_0203,Sophia_McKever; Josh_Torgeson, 2022-03-24,PST,12:35:00,13:03:00,46.530817,-120.470337,N/A
T02,Yakima at Mabton,RC2_0204,Sophia_McKever; Josh_Torgeson, 2022-03-24,PST,13:57:00,14:24:00,46.232095,-119.999901,N/A
T07,Yakima at Kiona,RC2_0205,Sophia_McKever; Josh_Torgeson, 2022-03-24,PST,15:03:00,15:27:00,46.255319,-119.47405,N/A
T06,American River,RC2_0206,Sophia_McKever; Josh_Torgeson; Erica Bakker, 2022-04-07,PST,8:50:00,10:20:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0207,Sophia_McKever; Josh_Torgeson; Erica Bakker, 2022-04-07,PST,9:30:00,10:50:00,46.98904,-121.09921,N/A
T42,Naches River Craig Road 2,RC2_0208,Sophia_McKever; Josh_Torgeson; Erica Bakker, 2022-04-07,PST,10:41:00,11:15:00,46.72895,-120.71431,N/A
T03,Yakima at Union Gap,RC2_0209,Sophia_McKever; Josh_Torgeson; Erica Bakker, 2022-04-07,PST,13:00:00,13:35:00,46.530817,-120.470337,N/A
T02,Yakima at Mabton,RC2_0210,Sophia_McKever; Josh_Torgeson; Erica Bakker, 2022-04-07,PST,14:35:00,15:10:00,46.232095,-119.999901,N/A
T07,Yakima at Kiona,RC2_0211,Sophia_McKever; Josh_Torgeson; Erica Bakker, 2022-04-07,PST,15:50:00,16:15:00,46.255319,-119.47405,N/A
