Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,RC2_0038_Water,10.58052/IEPRS00BZ,Liquid>aqueous,4.94,0.467,0.7,-9999,-9999,0.833,1.323,0.17,17.4,TRUE
N/A,RC2_0039_Water,10.58052/IEPRS00C0,Liquid>aqueous,4.593,0.663,0.243,-9999,-9999,1.847,1.507,0.11,60.5,TRUE
N/A,RC2_0040_Water,10.58052/IEPRS00C1,Liquid>aqueous,7.613,1.52,0.447,-9999,-9999,2.15,1.593,0.167,34.6,TRUE
N/A,RC2_0041_Water,10.58052/IEPRS00C2,Liquid>aqueous,11.803,2.827,1.2,-9999,-9999,4.47,1.62,0.34,9.24,TRUE
N/A,RC2_0042_Water,10.58052/IEPRS00C3,Liquid>aqueous,13.09,3.36,1.55,-9999,-9999,5.49,1.583,0.427,12,TRUE
N/A,RC2_0043_Water,10.58052/IEPRS00BT,Liquid>aqueous,4.893,-9999,0.225,-9999,-9999,1.61,0.593,-9999,6.33,TRUE
N/A,RC2_0044_Water,10.58052/IEPRS00BU,Liquid>aqueous,6.27,0.507,0.387,-9999,-9999,0.923,1.043,0.137,2.33,TRUE
N/A,RC2_0045_Water,10.58052/IEPRS00BV,Liquid>aqueous,6.283,1.317,-9999,-9999,-9999,2.523,1.073,-9999,20.1,TRUE
N/A,RC2_0046_Water,10.58052/IEPRS00BW,Liquid>aqueous,9.7,1.717,0.995,-9999,-9999,2.14,1.393,0.24,10.5,TRUE
N/A,RC2_0048_Water,10.58052/IEPRS00BX,Liquid>aqueous,16.17,4.68,2.82,-9999,-9999,9.053,1.687,0.653,4.39,TRUE
N/A,RC2_0049_Water,10.58052/IEPRS00D4,Liquid>aqueous,12.08,3.16,1.513,-9999,-9999,4.683,1.627,0.433,4.36,TRUE
N/A,RC2_0050_Water,10.58052/IEPRS00D5,Liquid>aqueous,4.317,-9999,0.16,-9999,-9999,1.37,0.7,-9999,3.24,TRUE
N/A,RC2_0051_Water,10.58052/IEPRS00D6,Liquid>aqueous,6.17,0.523,0.32,-9999,-9999,1.003,1.1,0.11,2.8,TRUE
N/A,RC2_0052_Water,10.58052/IEPRS00D7,Liquid>aqueous,5.783,1.117,-9999,-9999,-9999,2.37,1.02,-9999,6.99,TRUE
N/A,RC2_0053_Water,10.58052/IEPRS00D8,Liquid>aqueous,8.653,1.783,0.467,-9999,-9999,2.15,1.34,0.21,11,TRUE
N/A,RC2_0054_Water,10.58052/IEPRS00D9,Liquid>aqueous,12.963,3.447,1.82,-9999,-9999,5.693,1.763,0.5,14,TRUE
N/A,RC2_0055_Water,10.58052/IEPRS00DA,Liquid>aqueous,4.085,-9999,-9999,-9999,-9999,1.573,0.69,-9999,3.48,TRUE
N/A,RC2_0056_Water,10.58052/IEPRS00DB,Liquid>aqueous,6.553,0.547,0.193,-9999,-9999,1.113,0.97,-9999,3.44,TRUE
N/A,RC2_0057_Water,10.58052/IEPRS00DC,Liquid>aqueous,5.49,1.093,-9999,-9999,-9999,2.297,0.903,-9999,5.21,TRUE
N/A,RC2_0058_Water,10.58052/IEPRS00DD,Liquid>aqueous,7.94,1.777,0.397,-9999,-9999,2.287,1.227,0.147,10.1,TRUE
N/A,RC2_0059_Water,10.58052/IEPRS00DE,Liquid>aqueous,11.72,3.107,1.39,-9999,-9999,5.177,1.52,0.407,8.32,TRUE
N/A,RC2_0060_Water,10.58052/IEPRS00DF,Liquid>aqueous,14.813,3.91,1.94,-9999,-9999,8.167,1.51,0.527,7.91,TRUE
N/A,RC2_0061_Water,10.58052/IEPRS00DG,Liquid>aqueous,5.857,-9999,-9999,-9999,-9999,1.783,0.557,-9999,1.63,TRUE
N/A,RC2_0062_Water,10.58052/IEPRS00DH,Liquid>aqueous,7.933,0.68,-9999,-9999,-9999,1.357,0.937,-9999,2.01,TRUE
N/A,RC2_0063_Water,10.58052/IEPRS00DI,Liquid>aqueous,6.193,1.435,-9999,0.1,-9999,3.215,0.99,-9999,2.52,TRUE
N/A,RC2_0064_Water,10.58052/IEPRS00DJ,Liquid>aqueous,8.36,2.03,0.653,-9999,-9999,2.237,1.29,0.223,8.86,TRUE
N/A,RC2_0065_Water,10.58052/IEPRS00DK,Liquid>aqueous,20.603,6.395,4.395,0.16,-9999,11.645,1.897,1.24,6.67,TRUE
N/A,RC2_0066_Water,10.58052/IEPRS00DL,Liquid>aqueous,23.153,7.16,3.05,-9999,-9999,14.085,1.887,0.853,1.65,TRUE
N/A,RC2_0067_Water,10.58052/IEPRS00DM,Liquid>aqueous,6.617,0.56,-9999,-9999,-9999,1.78,0.473,-9999,2.48,TRUE
N/A,RC2_0068_Water,10.58052/IEPRS00DN,Liquid>aqueous,8.18,0.68,-9999,-9999,-9999,1.26,0.973,-9999,1.75,TRUE
N/A,RC2_0069_Water,10.58052/IEPRS00DO,Liquid>aqueous,6.527,1.517,-9999,-9999,-9999,2.41,1.037,-9999,4.99,TRUE
N/A,RC2_0070_Water,10.58052/IEPRS00DP,Liquid>aqueous,8.133,2.053,0.59,-9999,-9999,2.043,1.26,0.2,6.28,TRUE
N/A,RC2_0071_Water,10.58052/IEPRS00DQ,Liquid>aqueous,21.863,6.16,4.39,-9999,-9999,11.047,1.877,1.257,3.36,TRUE
N/A,RC2_0072_Water,10.58052/IEPRS00DR,Liquid>aqueous,22.75,6.293,2.553,-9999,-9999,12.107,1.933,0.803,1.5,TRUE
N/A,RC2_0073_Water,10.58052/IEPRS00DX,Liquid>aqueous,23.323,-9999,-9999,-9999,-9999,-9999,1.88,0.733,1.7,TRUE
