Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
Ions_Typical,ION_T_AN_001,MethodID_Analysis,Conductivity detection was used for all ions (fluoride; chloride; bromide; sulfate; phosphate; lithium; sodium; ammonium; calcium; magnesium; potassium) except nitrate and nitrite which are detected via ultraviolet (UV) absorbance. Injection volume: 0.5 milliliters. Standard concentration ranges (mg/L): (fluoride: 0-4) (chloride: 0-20) (bromide: 0-20) (sulfate: 0-20) (phosphate: 0-40) (nitrate: 0-20) (nitrite: 0-20) (lithium: 0-10) (sodium: 0-40) (ammonium: 0-50) (potassium: 0-100) (magnesium: 0-50) (chloride: 0-100). Eluent used for cations: MSA at a concentration gradient of 0.5 to 11 to 0.5 millimolar (mM). Eluent used for anions: KOH at 30 millimolar (mM).,Dionex ICS-6000 DP,Pacific Northwest National Laboratory (PNNL) – Sequim
Ions_Typical,ION_T_DP_001,MethodID_DataProcessing,Manually checked peak identification. Checked peak shape and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among replicates; samples were flagged if CV was outside a given threshold. The flags indicate the limits of detection and CV where applicable.,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Method_QA_QC,NPOC_CV_030,MethodID_DataProcessing,"Non-purgeable organic carbon coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_IN_000,MethodID_Inspection,Vials were intact and filled to marked line. No precipitate or suspended particles.,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_ST_000,MethodID_Storage,Stored at -20 degC then thawed in 4 degC for three days.,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_PRES_000,MethodID_Preservation,2 microliters of 85% phosphoric acid per 5 milliliters of sample was put in vial prior to adding sample.,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_PREP_000,MethodID_Preparation,5 milliliters sample pipetted into analysis vial.,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_AN_000,MethodID_Analysis,Best 4 of 5 injections; injection volume: 150 microliters; furnace temperature: 720 degC; standard concentration ranges 0.3-20 milligrams_per_liter_carbon,Shimadzu Total Organic Carbon L series (TOC-L),Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_DP_000,MethodID_DataProcessing,"Data evaluated for whether values were within +/- 10% of standard curve. If not then values were replaced with ""Below_Range"" or ""Above_Range"" text. Standard curves must have R-squared values >0.985. If standard curve R-squared is <0.985 then sample values are replaced with ""Low_Rsq_in_STD_Curve"". Injections with Area of 0 were dropped. If any sample had fewer than 3 injections then sample values are replaced with ""Too_Few_Injections"". If there were more than 3 injections - the 3 that were closest to each other were retained; the others were dropped. For each sample - the ratio of maximum to minimum areas within the remaining 3 injections was found and if the ratio was greater than 2 - the reported concentration is given as ""Injections_Too_Variable.""",N/A,Pacific Northwest National Laboratory (PNNL)
OCN_Software_Method,OCN_004,MethodID_Analysis,Samples were run using the 9mL method.,N/A,Pacific Northwest National Laboratory (PNNL)
OCN_Storage_Method,OCN_ST_002,MethodID_Storage,Samples were run outside of the holding time.,N/A,Pacific Northwest National Laboratory (PNNL)
OCN_Vial_Break_Method,VB_OCN_001,MethodID_Inspection,Non-purgeable organic carbon (NPOC)/total nitrogen (TN) vial broke. Sample lost.,N/A,Pacific Northwest National Laboratory (PNNL)
OCN_Vial_Inspection_Method,VI_OCN_011,MethodID_Inspection,OCN vial was broken and sample lost but leftover sample from the DIC vial was used to run OCN.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,Cl_OUTLIER_000,MethodID_DataProcessing,Chloride coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,NO3_OUTLIER_000,MethodID_DataProcessing,Nitrate coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,NO2_OUTLIER_000,MethodID_DataProcessing,Nitrite coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,PO4_OUTLIER_000,MethodID_DataProcessing,Phosphate coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,SO4_OUTLIER_000,MethodID_DataProcessing,Sulfate coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,NPOC_OUTLIER_000,MethodID_DataProcessing,Non-purgeable organic carbon coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,DIC_OUTLIER_000,MethodID_DataProcessing,Dissolved inorganic organic carbon coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,TN_OUTLIER_000,MethodID_DataProcessing,Total nitrogen coefficient of variation (CV) between replicates was higher than the set threshold. Replicate was identified as an outlier because it was determined to have the highest distance to the other two replicates using distance based outlier detection. Replicate was removed from summary because it was identified as an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Method_QA_QC,TN_CV_030,MethodID_DataProcessing,"Total nitrogen coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_IN_000,MethodID_Inspection,Vials were intact. No precipitate or suspended particles.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_ST_000,MethodID_Storage,Stored at 4 degC in the dark until analysis. Analyzed within 1 month of collection.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_PRES_000,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_PREP_000,MethodID_Preparation,5.5 milliliters sample pipetted into analysis vial.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_AN_000,MethodID_Analysis,Best 4 of 5 injections; injection vol: 150 microliters; furnace temp: 720 degC; standard concentration ranges: 0.1-10 milliters_per_liter_nitrate_as_nitrogen,Shimadzu Total Organic Carbon L series (TOC-L) with a Total Nitrogen Measurement L series (TNM-L),Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_DP_000,MethodID_DataProcessing,"Data evaluated for whether values were within +/- 10% of standard curve. If not then values were replaced with ""Below_Range"" or ""Above_Range"" text. Standard curves must have R-squared values >0.985. If standard curve R-squared is <0.985 then sample values are replaced with ""Low_Rsq_in_STD_Curve"". Injections with Area = 0 were dropped. If any sample had fewer than 3 injections then sample values are replaced with ""Too_Few_Injections"". If there were more than 3 injections - the 3 that were closest to each other were retained; the others were dropped. For each sample - the ratio of maximum to minimum Areas within the remaining 3 injections was found and if the ratio was greater than 2 - the reported concentration is given as ""Injections_Too_Variable.""",N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Method,TSS_001,MethodID_Preparation,Total suspended solids (TSS) sample was collected in two 1 liter bottles. They were filtered through the same filter.,N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Method,TSS_002,MethodID_Preparation,Missing weight for total suspended solids (TSS) sample.,N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Method,TSS_003,MethodID_Preparation,Multiple filters were used to filter entire total suspended solids (TSS) sample.,N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Method,TSS_004,MethodID_Preparation,Filter clogged before entire 2 liters sample was finished filtering for total suspended solids (TSS) sample.,N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Method,TSS_005,MethodID_Preparation,Filter tore while filtering for total suspended solids (TSS) sample.,N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Method,TSS_PREP_001,MethodID_Preparation,Filter packet was damaged and total suspended solids (TSS) sample data is not usable.,N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Typical,TSS_T_IN_000,MethodID_Inspection,Bottles were intact and not leaking.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_ST_000,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator).,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_PRES_000,MethodID_Preservation,Storage at 4 degC was the only preservation.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_PREP_000,MethodID_Preparation,2 liter water samples were filtered through each 47 millimeter glass fiber filter (GF/F).,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_AN_000,MethodID_Analysis,Non-filterable residue was dried at temperatures between 103 degC and 105 degC. Total suspended solids was calculated gravimetrically.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_DP_000,MethodID_DataProcessing,Raw data was processed through a data evaluation script that flagged samples below limit of detection established by the Environmental Protection Agency (EPA),N/A,Pacific Northwest National Laboratory (PNNL) - Richland
