Formula,mf,Group,Transformation
C3H3O1,55.01839,Other,random
NA_1,55.04219874,Other,random
C7H5N1O_3,55.057454,Other,random
H_1O_3Cl3,55.914,Other,random
CH_4O3,55.95342235,Other,random
glyoxylate_(_H2O)_C2O2,55.98983,Other,random
C2H3Cl_1O2S1,56.0165,Other,random
C3H4O1,56.026215,Other,random
C2H4N2,56.037448,Other,random
C4H8,56.06258507,Other,random
Glycine_C2H3NO,57.021464,Other,random
acetone_(_H)_C3H5O,57.03404,Other,random
C3H7N1,57.05784048,Other,random
C1H_1o1,57.9253,Other,random
#N/A-2,57.96908323,Other,random
C2H2O2,58.00548,Other,random
C1H2N2O1,58.016713,Other,random
C3H6O1,58.04186423,Other,random
C3H8N1,58.065674,Other,random
C3H10N2O_1,58.089483,Other,random
C2H5N1O_1S1,59.019356,Other,random
C2H5N1O1,59.037114,Other,random
CO3,59.98472903,Other,random
C2H4O2,60.02112938,Other,random
C1H4N2O1,60.032363,Other,random
C3H8O1,60.05748915,Other,random
C3H10N1,60.081324,Other,random
C1H3N1S1,60.998621,Other,random
C1H3N1O2,61.016379,Other,random
C2H7O1N1,61.052764,Other,random
C1H7N3,61.063997,Other,random
NA_3,61.96401083,Other,random
C1H3Cl1,61.9923,Other,random
C1H2O3,62.00037604,Other,random
C2H6S1,62.019022,Other,random
C2H6O2,62.03676548,Other,random
C4H3O_1N2,63.034708,Other,random
O2S1,63.961902,Other,random
H1O2P1,63.971418,Other,random
O4,63.97966,Other,random
H1O4S_1P1,63.989176,Other,random
C4O,63.99494513,Other,random
C1H1O2F1,63.996,Other,random
C1H4O1S1,63.998287,Other,random
C1H4O3,64.01603444,Other,random
C5H4,64.0313,Other,random
C4H3N1,65.026549,Other,random
NA_4,65.0314789,Other,random
H2O2S1,65.977552,Other,random
H3O2P1,65.987068,Other,random
H2O4,65.99531,Other,random
C5H3Cl1O_2,66.0025,Other,random
C4H2O,66.01058497,Other,random
C4O2,66.03170709,Other,random
C5H6,66.04693481,Other,random
H1C2N3,67.017047,Other,random
C5H5N_1O1,67.030966,Other,random
C4H5N1,67.042199,Other,random
C3O2,67.9898428,Other,random
C4H4O1,68.026215,Other,random
C5H8,68.0626,Other,random
C4H6N1O2S_1,68.067782,Other,random
C3H3N1O1,69.02145213,Other,random
C4H7N1,69.057849,Other,random
Cl2,69.9377,Other,random
CH_2O3,69.9691005,Other,random
C3H2O2,70.00548,Other,random
C4H6O1,70.04186742,Other,random
C4H10N2O_1,70.089483,Other,random
C6H14O_1,70.114635,Other,random
