Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
310.09327794404,14,17,7,1,0,0,0,0,CHON,Lignin,311.10055441092,-0.168772827250852,1,C14H17O7N,0,0.263157894736842,7,0,-1,60.3,309.747025019643,0.25297498035701,0,0.5,1.21428571428571,0.0714285714285714,0,NA,Lignin,Lignin,Other,60.3,-136.615370822168,0.0826402046717468,0.0709000517825983,844.2,-1912.61519151035
310.114358350762,11,21,9,1,0,0,0,0,CHON,Carb,311.121634817642,-0.0113763924601259,1,C11H21O9N,0,0,2,-7,-8,60.3,309.768081887795,0.231918112205449,0,0.818181818181818,1.90909090909091,0.0909090909090909,0,NA,Carbohydrate,Carbohydrate,Other,60.3,-135.837049198365,0.105178442309496,0.0905459617578799,663.3,-1494.20754118201
310.114524304901,0,0,0,0,0,0,0,0,,None,311.121800771781,0,0,NA,NA,NA,NA,NA,NA,NA,309.768247656628,0.231752343372307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.129678338962,15,21,6,1,0,0,0,0,CHON,Lignin,311.136954805842,-0.216605392363411,1,C15H21O6N,0,0.181818181818182,6,0,-1,71.7,309.783384769559,0.216615230441164,-0.4,0.4,1.4,0.0666666666666667,0,NA,Lignin,Lignin,Other,71.7,-141.387164561186,0.0647848240861813,0.059304017061189,1075.5,-2120.80746841779
310.150895555616,12,25,8,1,0,0,0,0,CHON,AminoSugar,311.158172022496,-0.498903805105491,1,C12H25O8N,0,0,1,-7,-8,74.55,309.804578294879,0.195421705120793,-0.5,0.666666666666667,2.08333333333333,0.0833333333333333,0,NA,Other,Amino Sugar,Other,74.55,-141.866651507455,0.0777400596714843,0.0714492023158908,894.6,-1702.39981808946
310.196858027552,0,0,0,0,0,0,0,0,,None,311.204134494432,0,0,NA,NA,NA,NA,NA,NA,NA,309.850489444708,0.149510555291556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.233287881464,0,0,0,0,0,0,0,0,,None,311.240564348344,0,0,NA,NA,NA,NA,NA,NA,NA,309.88687862072,0.113121379279903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.565475038577,0,0,0,0,0,0,0,0,,None,311.572751505457,0,0,NA,NA,NA,NA,NA,NA,NA,310.218694854686,0.78130514531415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.838355905932,0,0,0,0,0,0,0,0,,None,311.845632372812,0,0,NA,NA,NA,NA,NA,NA,NA,310.491271020827,0.508728979173441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.948313999621,0,0,0,0,0,0,0,0,,None,311.955590466501,0,1,NA,NA,NA,NA,NA,NA,NA,310.601106334326,0.398893665674166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.984708274834,0,0,0,0,0,0,0,0,,None,311.991984741714,0,1,NA,NA,NA,NA,NA,NA,NA,310.637459971366,0.362540028633987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.0046517294,0,0,0,0,0,0,0,0,,None,312.01192819628,0,1,NA,NA,NA,NA,NA,NA,NA,310.657381156892,0.342618843107573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.032824459632,0,0,0,0,0,0,0,0,,None,312.040100926512,0,1,NA,NA,NA,NA,NA,NA,NA,310.685522429202,0.314477570797806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
