Mass,RC2_0001_ICR.1_p08,RC2_0001_ICR.2_p08,RC2_0001_ICR.3_p08,RC2_0002_ICR.1_p08,RC2_0002_ICR.2_p08,RC2_0002_ICR.3_p08,RC2_0003_ICR.1_p08,RC2_0003_ICR.2_p08,RC2_0003_ICR.3_p08,RC2_0004_ICR.1_p08,RC2_0004_ICR.2_p08,RC2_0004_ICR.3_p08,RC2_0005_ICR.1_p08,RC2_0005_ICR.2_p08,RC2_0005_ICR.3_p08,RC2_0006_ICR.1_p08,RC2_0006_ICR.2_p08,RC2_0006_ICR.3_p08
264.193934472305,0,0,0,0,0,0,1512388.4,0,0,0,0,0,0,0,0,0,0,0
264.591193964393,0,0,0,0,1231995.8,0,0,0,0,0,0,0,0,0,0,0,0,0
264.781093360632,3858969,1844709.8,2897280.5,2178540.8,0,1369155.3,0,6174847,0,0,0,1316035.1,1427970,0,4549616,1229094.6,1468647,0
264.996491011343,0,2887751.5,2495457.5,0,0,0,0,0,0,2088812.5,1921900.5,0,1435237,0,0,0,1620043.3,2097278.5
264.997264883006,12990583,12988488,12670946,7363661.5,8285619,5710244,4008993.3,16400604,6321323,10504045,8627053,9253669,7338597.5,10344458,10717264,6106378.5,6088779.5,11097215
264.999092952184,0,0,0,0,0,0,0,0,0,0,1575021.8,0,0,0,0,0,0,0
264.999576454219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213393.1,0,0,0
265.034713826093,0,0,0,0,0,0,1404465.5,0,0,0,0,0,0,0,0,0,1594461,0
265.035464422326,2519176,2473049,3104243,3221086.5,3939780.5,2822581,4106289.8,1948652.9,4653244,3863422,4504446,4001078.3,4776567,5756955.5,4124769,5391644,5651549.5,5869712.5
265.048498478899,0,1279071,0,0,0,0,0,0,0,0,0,0,0,1384225.3,1351527,1281058,1520995.5,1540758.3
265.066244682866,0,0,0,0,0,0,0,0,0,0,1377548.1,0,0,0,0,1242410.1,1479531.6,0
265.071051080501,0,0,0,1658478.4,1462228.5,0,0,0,0,0,0,0,0,1489963.5,0,0,1634925.9,0
265.071824412211,5140631.5,6456425.5,6157315.5,7237742.5,7667157,6909381.5,8309825.5,5333244.5,9258188,7115662.5,7519118.5,7749447,8241799.5,8869932,6510705.5,7811372.5,8811630,8772769
265.075342647738,0,1335915.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1234222.3,0,0
265.084928812958,2836125.5,3050095.5,2288649.3,2562676.5,2722778.8,2777035.3,2386503.3,3063042.3,3117778.3,2574740.3,2474388.8,2608972.8,3958925.8,3689522,3378295.3,4690226.5,4784244.5,3937959
265.102644888906,0,1862263.6,0,1695868.5,0,0,0,1501962,0,0,0,0,1296277.9,1740090,0,2426683,1639292.6,0
265.107466391862,0,1943673.8,1937939.4,3848318.8,3129829,3050965.3,2447441,0,2338012.3,2190238.3,1740702.9,2415447,1966744,1979964.1,1970305.3,2066749.1,2392190.8,1888945.4
265.108258679609,8233127.5,8327290,7962644,16633983,17071590,15828438,12340305,9490700,13552861,10596255,10171295,10691415,12171928,11921469,10516610,10442046,10994815,10038450
265.121250116815,1891501.3,4283520,0,3555460.8,1960171.1,3312603.5,4078679,3715346,7806178.5,2892196.5,1914789.1,2263901.3,2703006.3,3812418.5,2564231.3,4795715.5,6291589.5,3153591.8
265.143796092155,0,0,0,1601678.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265.144589970142,2598583.5,3851402.5,2963492,5991567.5,5294581.5,5636582,4158561,2874140.3,0,3560367,3664303.8,3596135.8,3470505,3331661.3,3664017.8,3683150.3,3643024,3456194.5
265.147200692435,2723000.5,2795659.8,5304357.5,4204688.5,0,2824679,8453218,0,21368046,2489264.3,2762672.8,4623209,4051626.3,0,5265555,1976655.5,3644561.3,4832451.5
265.147962158313,14514361,16687244,34484260,22515856,10974711,16448999,47557732,34763036,152227056,14120881,20005810,24810346,23212714,13146191,26968212,13368656,19993746,31552708
265.152689530581,0,0,0,0,0,0,0,0,2194672.8,0,0,0,0,0,0,0,0,0
265.157615092091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751892.3,0,0
