Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,15N
255,221.045929,221.04561166675617,221.0455468880095,5167469.0,nan,517608.5,39.76,-1,0.29305610347674654,0.9845376348444433,0.0,0.590722580906666,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,,,
258,221.082341,221.0820235250421,221.0819323973938,15657340.0,nan,495647.9,125.41,-1,0.41218948695344215,0.9792098059508438,0.9940302410048345,0.9851379799724401,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,,,,
259,222.077518,222.07719665185195,222.0771813695868,1189389.8,nan,645282.5,7.28,-1,0.06881510763260712,0.9991411153442202,0.0,0.5994846692065321,6.0,1.1818181818181819,0.36363636363636365,N1 O4,de-protonated,0,,C11 H13 O4 N1,11,13,4,,1,,,,,
261,222.085664,222.08534262014803,222.0852872324661,1928465.1,nan,592906.6,13.31,-1,0.24939824972462366,0.9887774329537666,0.9940302410048345,0.9908785561741938,6.0,1.2727272727272727,0.36363636363636365,13C1 O4,de-protonated,1,258,C11 H14 O4 13C1,11,14,4,,,1,,,,
264,223.0252,223.02487496351048,223.02481144310323,2580111.5,nan,552425.7,18.63,-1,0.2848131866643524,0.9853889382610297,0.0,0.5912333629566178,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,,,
265,223.061622,223.06129682175748,223.0611969524875,4778142.5,nan,511407.4,36.58,-1,0.4477213936726235,0.9642813250744293,0.0,0.5785687950446575,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,,,,
268,223.09797,223.09764468029246,223.0975824618718,2737837.3,nan,496388.4,19.92,-1,0.2788843337764511,0.9859866750661911,0.0,0.5915920050397147,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,,,,
269,223.134348,223.1340225387107,223.1339679712561,1259196.0,nan,558348.8,7.85,-1,0.24455019143633983,0.9892071634578857,0.0,0.5935242980747314,4.0,1.5384615384615385,0.23076923076923078,O3,de-protonated,0,,C13 H20 O3,13,20,3,,,,,,,
270,224.056762,224.05643294871132,224.0564459246805,1257526.4,nan,481152.6,7.77,-1,-0.05791384010814451,0.9993916039177607,0.0,0.5996349623506564,6.0,1.1,0.5,N1 O5,de-protonated,0,,C10 H11 O5 N1,10,11,5,,1,,,,,
272,225.04084,225.04050711871804,225.04046150758123,4658124.5,nan,512471.3,35.34,-1,0.2026797159354547,0.9925739674619524,0.0,0.5955443804771714,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,,,,
274,225.077243,225.07690997703898,225.0768470169655,7392220.0,nan,490136.6,57.51,-1,0.27972701018658797,0.9859024624975631,0.0,0.5915414774985378,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,,,,
275,225.113636,225.11330283539885,225.11323252634983,2902507.0,nan,519223.2,21.11,-1,0.31232748174283365,0.9824556863907858,0.0,0.5894734118344714,4.0,1.5,0.3333333333333333,O4,de-protonated,0,,C12 H18 O4,12,18,4,,,,,,,
276,225.149973,225.14963969397664,225.1496180357341,1465594.0,nan,562757.5,9.46,-1,0.09619488906944457,0.9983223812192167,0.0,0.5989934287315299,3.0,1.6923076923076923,0.23076923076923078,O3,de-protonated,0,,C13 H22 O3,13,22,3,,,,,,,
277,226.072482,226.07214510360754,226.0720959891585,1547897.8,nan,592141.6,10.12,-1,0.2172512659123317,0.9914725313741357,0.0,0.5948835188244814,5.0,1.3,0.5,N1 O5,de-protonated,0,,C10 H13 O5 N1,10,13,5,,1,,,,,
278,226.145297,226.14495982021438,226.1448670079271,1843096.1,nan,572779.4,12.51,-1,0.4104107623836205,0.9698996453239279,0.0,0.5819397871943567,3.0,1.75,0.25,N1 O3,de-protonated,0,,C12 H21 O3 N1,12,21,3,,1,,,,,
279,227.020092,227.0197514155463,227.0197260626749,1641478.5,nan,481030.1,10.88,-1,0.11167695355706307,0.9977395774176545,0.0,0.5986437464505927,6.0,0.8888888888888888,0.7777777777777778,O7,de-protonated,0,,C9 H8 O7,9,8,7,,,,,,,
280,227.038656,227.03831534329592,227.03835350732982,1353230.3,nan,419155.7,8.54,-1,-0.16809509629636282,0.9948861135916545,0.0,0.5969316681549927,5.0,1.2,0.4,S1 O4,de-protonated,0,,C10 H12 O4 S1,10,12,4,1,,,,,,
281,227.05653,227.056189273731,227.05611157205922,8638230.0,nan,494701.3,67.6,-1,0.3422135226697935,0.9789747064346278,0.0,0.5873848238607766,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,,,,
282,227.09292,227.09257913210254,227.0924970814435,12192549.0,nan,482212.6,96.42,-1,0.3613094228134551,0.98279676530453,0.9967999146667819,0.9883980250494308,4.0,1.4545454545454546,0.45454545454545453,O5,de-protonated,0,,C11 H16 O5,11,16,5,,,,,,,
284,227.104143,227.10380208842307,227.1037304707358,14002986.0,nan,488880.8,111.09,-1,0.31535231552626436,0.9881535867333653,0.9703133223159673,0.9810174809664061,4.0,1.6,0.4,N2 O4,de-protonated,0,,C10 H16 O4 N2,10,16,4,,2,,,,,
286,227.129296,227.12895499052857,227.12888259082783,4610868.5,nan,485651.4,34.95,-1,0.31876043203044097,0.9817322390775276,0.0,0.5890393434465165,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,,,,
287,228.051819,228.05147440010495,228.05136054425222,1189305.3,nan,470215.5,7.21,-1,0.4992553101191011,0.9557803524292966,0.0,0.573468211457578,5.0,1.2222222222222223,0.6666666666666666,N1 O6,de-protonated,0,,C9 H11 O6 N1,9,11,6,,1,,,,,
289,228.088202,228.08785725850373,228.0877460536365,1263816.6,nan,582511.1,7.81,-1,0.48755301046337857,0.9577851522952228,0.0,0.5746710913771337,4.0,1.5,0.5,N1 O5,de-protonated,0,,C10 H15 O5 N1,10,15,5,,1,,,,,
290,228.096253,228.09590822716956,228.09585191651578,1412556.0,nan,474299.7,9.02,-1,0.24687276556014057,0.989002320454551,0.9967999146667819,0.9921213581394434,4.0,1.6,0.5,13C1 O5,de-protonated,1,282,C10 H16 O5 13C1,10,16,5,,,1,,,,
291,228.107471,228.10712618350954,228.1070853058081,2054352.8,nan,546352.0,14.22,-1,0.17920399696533948,0.9941898880921212,0.9703133223159673,0.9846392617816596,4.0,1.7777777777777777,0.4444444444444444,13C1 N2 O4,de-protonated,1,284,C9 H16 O4 N2 13C1,9,16,4,,2,1,,,,
292,228.160922,228.16057697548032,228.1605170724051,3479271.5,nan,505410.8,25.77,-1,0.26254794648151364,0.9875703775246157,0.0,0.5925422265147694,2.0,1.9166666666666667,0.25,N1 O3,de-protonated,0,,C12 H23 O3 N1,12,23,3,,1,,,,,
293,229.035802,229.0354535704814,229.03537612715292,2469466.8,nan,562036.1,17.45,-1,0.33812823935079406,0.9794685440037048,0.0,0.5876811264022228,5.0,1.1111111111111112,0.7777777777777778,O7,de-protonated,0,,C9 H10 O7,9,10,7,,,,,,,
294,229.072197,229.07184842883348,229.07176163653722,16596586.0,nan,476051.6,131.14,-1,0.37888692887480474,0.48714419957296734,0.9017481179022584,0.6529857669046838,4.0,1.4,0.6,O6,de-protonated,0,,C10 H14 O6,10,14,6,,,,,,,
296,229.108576,229.10822728724784,229.10814714592152,8620666.0,nan,497951.1,66.96,-1,0.3497969291803209,0.9780429647233715,0.0,0.5868257788340229,3.0,1.6363636363636365,0.45454545454545453,O5,de-protonated,0,,C11 H18 O5,11,18,5,,,,,,,
297,229.144931,229.1445821457556,229.14453265530582,4821641.0,nan,502479.6,36.38,-1,0.21597918662627982,0.9915716806133895,0.0,0.5949430083680337,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,,,,
300,230.103831,230.10347841375412,230.10339611811452,1768738.6,nan,509316.8,11.81,-1,0.3576463493762278,0.9770579965714499,0.0,0.5862347979428699,3.0,1.7,0.5,N1 O5,de-protonated,0,,C10 H17 O5 N1,10,17,5,,1,,,,,
302,230.140193,230.13984027223464,230.13978162749882,1352242.1,nan,496251.3,8.46,-1,0.2548222449905766,0.988286881669578,0.0,0.5929721290017468,2.0,1.9090909090909092,0.36363636363636365,N1 O4,de-protonated,0,,C11 H21 O4 N1,11,21,4,,1,,,,,
305,231.033609,231.03325279509434,231.0332681269015,1229105.9,nan,447988.0,7.47,-1,-0.06636190227846056,0.9992012369352202,0.0,0.5995207421611322,4.0,1.3333333333333333,0.5555555555555556,S1 O5,de-protonated,0,,C9 H12 O5 S1,9,12,5,1,,,,,,
306,231.051425,231.05106872575513,231.0510261916309,3518393.5,nan,475489.3,25.89,-1,0.18408974381224422,0.9938697464913265,0.0,0.5963218478947959,4.0,1.3333333333333333,0.7777777777777778,O7,de-protonated,0,,C9 H12 O7,9,12,7,,,,,,,
307,231.066645,231.06628866651948,231.06628233291582,1331904.1,nan,584817.5,8.29,-1,0.027410332657354014,0.9998636821153987,0.0,0.5999182092692392,8.0,0.9230769230769231,0.3076923076923077,O4,de-protonated,0,,C13 H12 O4,13,12,4,,,,,,,
309,231.087845,231.08748858400992,231.0874117010152,17121738.0,nan,472238.0,135.36,-1,0.3327009210019059,0.9820703990006898,0.9958943878833829,0.987599994553767,3.0,1.6,0.6,O6,de-protonated,0,,C10 H16 O6,10,16,6,,,,,,,
310,231.124226,231.12386944241646,231.12379721039952,4900313.0,nan,494078.0,37.01,-1,0.31252522595726984,0.9824336599983587,0.0,0.5894601959990152,2.0,1.8181818181818181,0.45454545454545453,O5,de-protonated,0,,C11 H20 O5,11,20,5,,,,,,,
311,232.091196,232.09083567900686,232.0907665360875,1952378.8,nan,521837.2,13.28,-1,0.297913270699848,0.9840249846958284,0.9958943878833829,0.9887727459708502,3.0,1.7777777777777777,0.6666666666666666,13C1 O6,de-protonated,1,309,C9 H16 O6 13C1,9,16,6,,,1,,,,
312,232.094316,232.09395566686396,232.0938940625005,2172284.0,nan,558007.5,15.05,-1,0.26542862620794216,0.9872978743371265,0.0,0.5923787246022758,3.0,1.875,0.625,N3 O5,de-protonated,0,,C8 H15 O5 N3,8,15,5,,3,,,,,
317,233.04597,233.04560596306365,233.0455468880095,2921753.5,nan,496622.3,21.08,-1,0.25349145232775366,0.9884081942170929,0.0,0.5930449165302557,8.0,0.8333333333333334,0.4166666666666667,O5,de-protonated,0,,C12 H10 O5,12,10,5,,,,,,,
319,233.06706,233.06669588098217,233.0666762561089,2549538.8,nan,463027.5,18.08,-1,0.0842028280315662,0.9987143348973466,0.0,0.5992286009384079,3.0,1.5555555555555556,0.7777777777777778,O7,de-protonated,0,,C9 H14 O7,9,14,7,,,,,,,
320,233.082342,233.08197782150523,233.0819323973938,2184745.5,nan,522096.0,15.15,-1,0.19488473839485743,0.9931322592435651,0.0,0.595879355546139,7.0,1.0769230769230769,0.3076923076923077,O4,de-protonated,0,,C13 H14 O4,13,14,4,,,,,,,
321,233.103483,233.10311873922527,233.1030617654932,5146930.5,nan,490757.7,38.99,-1,0.24441434456490638,0.989219086050387,0.0,0.5935314516302321,2.0,1.8,0.6,O6,de-protonated,0,,C10 H18 O6,10,18,6,,,,,,,
322,233.11477,233.11440569529668,233.1142951547855,1204919.6,nan,447600.5,7.26,-1,0.47419018683340447,0.9600212241412931,0.0,0.5760127344847759,2.0,2.0,0.5555555555555556,N2 O5,de-protonated,0,,C9 H18 O5 N2,9,18,5,,2,,,,,
323,233.155097,233.1547325383456,233.15470341616242,5631305.0,nan,468562.5,42.88,-1,0.12490497833432822,0.9971731760396686,0.0,0.5983039056238011,5.0,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,,C15 H22 O2,15,22,2,,,,,,,
324,235.025262,235.0248902597362,235.02481144310323,2284412.5,nan,479958.5,15.82,-1,0.3353545205725789,0.9798005965663579,0.0,0.5878803579398147,8.0,0.7272727272727273,0.5454545454545454,O6,de-protonated,0,,C11 H8 O6,11,8,6,,,,,,,
326,235.061657,235.06128511808828,235.0611969524875,4769932.5,nan,476049.8,35.67,-1,0.37507509497576874,0.9747966031025859,0.0,0.5848779618615515,7.0,1.0,0.4166666666666667,O5,de-protonated,0,,C12 H12 O5,12,12,5,,,,,,,
328,235.098012,235.09763997659604,235.0975824618718,3084444.5,nan,507397.2,22.21,-1,0.2446419211576342,0.9891991091387615,0.0,0.5935194654832568,6.0,1.2307692307692308,0.3076923076923077,O4,de-protonated,0,,C13 H16 O4,13,16,4,,,,,,,
331,236.056838,236.05646224488254,236.0564459246805,1263939.9,nan,582504.4,7.67,-1,0.06913686246560069,0.9991330683832238,0.0,0.5994798410299342,7.0,1.0,0.45454545454545453,N1 O5,de-protonated,0,,C11 H11 O5 N1,11,11,5,,1,,,,,
332,236.093235,236.09285910322683,236.0928314340648,5060180.0,nan,468620.2,37.99,-1,0.11719611245642748,0.9975109181314943,0.0,0.5985065508788966,6.0,1.25,0.3333333333333333,N1 O4,de-protonated,0,,C12 H15 O4 N1,12,15,4,,1,,,,,
333,236.096643,236.09626708996305,236.09620273743482,2199893.5,nan,507557.6,15.14,-1,0.2725690946359082,0.9866099228454841,0.0,0.5919659537072904,1.0,2.111111111111111,0.4444444444444444,N1 S1 O4,de-protonated,0,,C9 H19 O4 S1 N1,9,19,4,1,1,,,,,
336,237.040881,237.0405014150255,237.04046150758123,5824504.5,nan,437693.9,44.09,-1,0.16835709822440054,0.994870200609464,0.0,0.5969221203656784,7.0,0.9090909090909091,0.5454545454545454,O6,de-protonated,0,,C11 H10 O6,11,10,6,,,,,,,
339,237.07729,237.07691027332308,237.0768470169655,8279048.5,nan,468616.4,63.69,-1,0.26681794689647625,0.4935827066315988,0.8843699161556753,0.6498975904412294,6.0,1.1666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H14 O5,12,14,5,,,,,,,
341,237.113683,237.11330313168295,237.11323252634983,3310617.0,nan,444076.5,24.01,-1,0.2977705308520666,0.9840401665328056,0.0,0.5904240999196834,5.0,1.3846153846153846,0.3076923076923077,O4,de-protonated,0,,C13 H18 O4,13,18,4,,,,,,,
342,237.116976,237.1165961188667,237.11660382971982,1470746.4,nan,463417.2,9.32,-1,-0.032519245750976054,0.9998081361785376,0.0,0.5998848817071225,0.0,2.2,0.4,S1 O4,de-protonated,0,,C10 H22 O4 S1,10,22,4,1,,,,,,
344,238.072549,238.0721653998138,238.0720959891585,2085828.5,nan,546586.8,14.23,-1,0.29155309030010296,0.9846946166068413,0.0,0.5908167699641048,6.0,1.1818181818181819,0.45454545454545453,N1 O5,de-protonated,0,,C11 H13 O5 N1,11,13,5,,1,,,,,
347,239.020149,239.01976171179146,239.01972606267492,3956589.0,nan,445343.0,29.16,-1,0.149147173447844,0.9959718307920822,0.0,0.5975830984752493,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,,,,
349,239.056521,239.05613357023304,239.05611157205922,13086589.0,nan,454906.9,102.08,-1,0.09202096393411706,0.9946191565442986,0.9792565081097885,0.9884740971704946,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,,
351,239.067779,239.06739152641737,239.0673449613515,1350274.4,nan,530392.1,8.35,-1,0.19477802742175407,0.9931397523265902,0.0,0.5958838513959541,6.0,1.2,0.5,N2 O5,de-protonated,0,,C10 H12 O5 N2,10,12,5,,2,,,,,
354,239.092929,239.09254142853453,239.0924970814435,14933902.0,nan,451777.6,116.83,-1,0.1854808978759509,0.9936256736549536,0.9982674786121409,0.9954823956378285,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,,,,
357,239.129314,239.12892628692552,239.12888259082783,25761694.0,nan,451788.5,203.3,-1,0.18273032189946553,0.989975922368391,0.9912180535693766,0.9904727748487854,4.0,1.5384615384615385,0.3076923076923077,O4,de-protonated,0,,C13 H20 O4,13,20,4,,,,,,,
358,239.165707,239.1653191452854,239.1652681002121,1419182.4,nan,536899.4,8.9,-1,0.21343012594287136,0.9917686381958901,0.0,0.5950611829175341,3.0,1.7142857142857142,0.21428571428571427,O3,de-protonated,0,,C14 H24 O3,14,24,3,,,,,,,
360,240.051813,240.05142169659533,240.05136054425222,1349693.3,nan,363328.5,8.27,-1,0.254746913197678,0.9882937653358885,0.0,0.5929762592015331,6.0,1.1,0.6,N1 O6,de-protonated,0,,C10 H11 O6 N1,10,11,6,,1,,,,,
361,240.059912,240.05952066507433,240.05946640713148,1916992.9,nan,473941.2,12.77,-1,0.22601875969233962,0.9907736149792383,0.9792565081097885,0.9861667722314584,6.0,1.2,0.6,13C1 O6,de-protonated,1,349,C10 H12 O6 13C1,10,12,6,,,1,,,,
362,240.088149,240.087757555177,240.0877460536365,1685837.6,nan,533024.4,10.94,-1,0.047905570783741955,0.9995836721667715,0.0,0.5997502033000629,5.0,1.3636363636363635,0.45454545454545453,N1 O5,de-protonated,0,,C11 H15 O5 N1,11,15,5,,1,,,,,
363,240.096289,240.09589752349646,240.09585191651578,1919569.3,nan,498250.1,12.79,-1,0.18995322207068605,0.9934743127726484,0.9982674786121409,0.9953915791084454,5.0,1.4545454545454546,0.45454545454545453,13C1 O5,de-protonated,1,354,C11 H16 O5 13C1,11,16,5,,,1,,,,
365,240.12462,240.1242284132333,240.12413156302082,1348830.1,nan,420321.9,8.27,-1,0.40333394172367704,0.9709136358880562,0.0,0.5825481815328337,4.0,1.5833333333333333,0.3333333333333333,N1 O4,de-protonated,0,,C12 H19 O4 N1,12,19,4,,1,,,,,
366,240.132696,240.13230438180184,240.13223742590012,3946849.8,nan,455239.6,28.85,-1,0.27882929192433736,0.9859921670642835,0.9912180535693766,0.9880825216663207,4.0,1.6666666666666667,0.3333333333333333,13C1 O4,de-protonated,1,357,C12 H20 O4 13C1,12,20,4,,,1,,,,
368,241.035857,241.03546186673435,241.03537612715292,4437242.0,nan,473777.7,32.73,-1,0.3557136832528603,0.9773024488571208,0.0,0.5863814693142725,6.0,1.0,0.7,O7,de-protonated,0,,C10 H10 O7,10,10,7,,,,,,,
370,241.072239,241.07184372513703,241.07176163653722,15454986.0,nan,452024.4,120.03,-1,0.34051520283293674,0.9848699482311716,0.983583280379124,0.9843552810903526,5.0,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,,C11 H14 O6,11,14,6,,,,,,,
371,241.108609,241.10821358358643,241.10814714592152,10236699.0,nan,437696.8,78.68,-1,0.27555130632913194,0.9908463048939771,0.9748289205302645,0.984439351148492,4.0,1.5,0.4166666666666667,O5,de-protonated,0,,C12 H18 O5,12,18,5,,,,,,,
372,241.119805,241.11940954001204,241.11938053521382,9536288.0,nan,454914.9,73.13,-1,0.12029227247305688,0.4986889197560438,0.8929744756128385,0.6564031420987617,4.0,1.6363636363636365,0.36363636363636365,N2 O4,de-protonated,0,,C11 H18 O4 N2,11,18,4,,2,,,,,
375,241.144989,241.14459344199688,241.14453265530582,4543787.5,nan,409284.1,33.58,-1,0.2520757588074833,0.9885365650946921,0.0,0.5931219390568152,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,,,,
379,242.067464,242.06706485176008,242.06701060873021,3992270.3,nan,480194.5,29.2,-1,0.2240827022596505,0.9909302869318645,0.0,0.5945581721591187,5.0,1.3,0.6,N1 O6,de-protonated,0,,C10 H13 O6 N1,10,13,6,,1,,,,,
380,242.075571,242.07517182020794,242.07511647160948,2176466.0,nan,475829.2,14.82,-1,0.2286422465558732,0.9905592035820876,0.983583280379124,0.9877688343009021,5.0,1.4,0.6,13C1 O6,de-protonated,1,370,C10 H14 O6 13C1,10,14,6,,,1,,,,
382,242.11194,242.1115406786612,242.11150198099378,1677538.5,nan,476584.1,10.86,-1,0.1598340728064829,0.9953752701111185,0.9748289205302645,0.9871567302787769,4.0,1.6363636363636365,0.45454545454545453,13C1 O5,de-protonated,1,371,C11 H18 O5 13C1,11,18,5,,,1,,,,
384,242.140262,242.1398625684331,242.13978162749882,8440047.0,nan,457767.0,64.44,-1,0.33427359080815044,0.48996464423134795,0.8843699161556753,0.6477267530010788,3.0,1.75,0.3333333333333333,N1 O4,de-protonated,0,,C12 H21 O4 N1,12,21,4,,1,,,,,
386,242.176617,242.17621742694084,242.1761671368831,20565248.0,nan,442945.4,160.51,-1,0.20765898782523862,0.9958652933421801,0.9853769789613005,0.9916699675898282,2.0,1.9230769230769231,0.23076923076923078,N1 O3,de-protonated,0,,C13 H25 O3 N1,13,25,3,,1,,,,,
390,243.051507,243.051104021903,243.0510261916309,7744143.0,nan,456957.6,58.93,-1,0.3202219439671539,0.9815658973021085,0.0,0.5889395383812651,5.0,1.2,0.7,O7,de-protonated,0,,C10 H12 O7,10,12,7,,,,,,,
392,243.087894,243.08749088028623,243.0874117010152,19312288.0,nan,441954.5,150.58,-1,0.32572345255434176,0.9854678711055702,0.9999061168659984,0.9912431694097414,4.0,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,,C11 H16 O6,11,16,6,,,,,,,
394,243.124258,243.12385473875895,243.12379721039952,11374256.0,nan,459125.5,87.69,-1,0.23662167214596008,0.9879995831530128,0.9921276721469839,0.9896508187506013,3.0,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H20 O5,12,20,5,,,,,,,
396,243.160598,243.16019459732507,243.16018271978382,8669889.0,nan,447271.8,66.26,-1,0.04884657151381673,0.49978357969813747,0.8759295984134849,0.6502419871842765,2.0,1.8461538461538463,0.3076923076923077,O4,de-protonated,0,,C13 H24 O4,13,24,4,,,,,,,
