Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,15N
248,239.165659,239.16534044808762,239.1652681002121,1341801.6,nan,527417.0,8.42,-1,0.30250159687036543,0.9835332202425037,0.0,0.5901199321455022,3.0,1.7142857142857142,0.21428571428571427,O3,de-protonated,0,,C14 H24 O3,14,24,3,,,,,,
256,241.144981,241.1446532205919,241.14453265530582,1888699.1,nan,415577.1,12.77,-1,0.49997105362520516,0.9556563286251016,0.0,0.573393797175061,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,,,
261,242.176612,242.1762794111821,242.1761671368831,3068280.5,nan,482334.3,22.28,-1,0.46360589618103193,0.9617518212936293,0.0,0.5770510927761776,2.0,1.9230769230769231,0.23076923076923078,N1 O3,de-protonated,0,,C13 H25 O3 N1,13,25,3,,1,,,,
265,243.124248,243.12391099335258,243.12379721039952,1934867.0,nan,475747.7,13.13,-1,0.46800417881918865,0.9610370407522594,0.0,0.5766222244513556,3.0,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H20 O5,12,20,5,,,,,,
270,245.06711,245.0667639358315,245.0666762561089,2116449.0,nan,490399.8,14.49,-1,0.35777904985826664,0.9770411656735251,0.0,0.586224699404115,4.0,1.4,0.7,O7,de-protonated,0,,C10 H14 O7,10,14,7,,,,,,
271,245.103513,245.1031667661226,245.1030617654932,6107249.0,nan,455276.4,46.44,-1,0.42839378926205524,0.9672486436582682,0.0,0.5803491861949609,3.0,1.6363636363636365,0.5454545454545454,O6,de-protonated,0,,C11 H18 O6,11,18,6,,,,,,
275,247.061619,247.06126363753478,247.0611969524875,2284490.5,nan,498778.3,15.83,-1,0.2699130745546001,0.9868678950420486,0.0,0.5921207370252292,8.0,0.9230769230769231,0.38461538461538464,O5,de-protonated,0,,C13 H12 O5,13,12,5,,,,,,
277,247.082776,247.08242053890194,247.0823263205869,2051539.9,nan,498712.6,13.96,-1,0.38132357115324106,0.9739609875807846,0.0,0.5843765925484707,3.0,1.6,0.7,O7,de-protonated,0,,C10 H16 O7,10,16,7,,,,,,
280,247.119169,247.11881336923966,247.1187118299712,1209827.9,nan,508934.5,7.22,-1,0.41089267463617524,0.9698299928345561,0.0,0.5818979957007336,2.0,1.8181818181818181,0.5454545454545454,O6,de-protonated,0,,C11 H20 O6,11,20,6,,,,,,
282,249.004527,249.0041625797992,249.0040759981969,1439266.4,nan,533381.4,9.05,-1,0.347711586530492,0.9783011289206873,0.0,0.5869806773524123,9.0,0.5454545454545454,0.6363636363636364,O7,de-protonated,0,,C11 H6 O7,11,6,7,,,,,,
283,249.040933,249.04056841007633,249.04046150758123,4233010.5,nan,437611.5,31.42,-1,0.42925753693954694,0.9671186385473924,0.0,0.5802711831284354,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,,,
285,249.077299,249.07693424053997,249.0768470169655,3465026.5,nan,510771.3,25.27,-1,0.3501874040587049,0.9779944601810939,0.0,0.5867966761086564,7.0,1.0769230769230769,0.38461538461538464,O5,de-protonated,0,,C13 H14 O5,13,14,5,,,,,,
288,249.150052,249.14968690136925,249.1496180357341,2364258.8,nan,387047.7,16.46,-1,0.27640273216465155,0.9862332385684258,0.0,0.5917399431410555,5.0,1.4666666666666666,0.2,O3,de-protonated,0,,C15 H22 O3,15,22,3,,,,,,
293,251.020186,251.01981218290229,251.01972606267492,2486430.8,nan,460711.7,17.43,-1,0.3430815128207276,0.9788690504149674,0.0,0.5873214302489804,8.0,0.7272727272727273,0.6363636363636364,O7,de-protonated,0,,C11 H8 O7,11,8,7,,,,,,
294,251.056608,251.05623401310484,251.05611157205922,5449391.0,nan,444903.1,40.85,-1,0.4877039035304549,0.9577595779540622,0.0,0.5746557467724372,7.0,1.0,0.5,O6,de-protonated,0,,C12 H12 O6,12,12,6,,,,,,
297,251.092948,251.09257384368965,251.0924970814435,4671167.0,nan,463536.3,34.67,-1,0.3057130222711749,0.9831847059467722,0.0,0.5899108235680633,6.0,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,,C13 H16 O5,13,16,5,,,,,,
298,251.129372,251.12899767388285,251.12888259082783,2016975.3,nan,468773.9,13.57,-1,0.4582629199570112,0.962611751683395,0.0,0.5775670510100369,5.0,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,,C14 H20 O4,14,20,4,,,,,,
299,252.051841,252.0514623733806,252.05136054425222,1288041.1,nan,536102.4,7.77,-1,0.40400150250590605,0.970818693964064,0.0,0.5824912163784384,7.0,1.0,0.5454545454545454,N1 O6,de-protonated,0,,C11 H11 O6 N1,11,11,6,,1,,,,
302,252.979105,252.97872205052428,252.97873062959468,3742213.8,nan,487290.4,27.27,-1,-0.03391222011019464,0.9997913487643101,0.0,0.599874809258586,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,,,
303,253.035834,253.03545078605666,253.03537612715292,3602463.3,nan,464470.6,26.16,-1,0.29505322490718844,0.984327836327609,0.0,0.5905967017965654,7.0,0.9090909090909091,0.6363636363636364,O7,de-protonated,0,,C11 H10 O7,11,10,7,,,,,,
305,253.07226,253.07187661624056,253.07176163653722,6028847.5,nan,445647.2,45.45,-1,0.45433636134306193,0.963237844024627,0.0,0.5779427064147762,6.0,1.1666666666666667,0.5,O6,de-protonated,0,,C12 H14 O6,12,14,6,,,,,,
306,253.108611,253.1082274467741,253.10814714592152,5094975.5,nan,432435.5,38.03,-1,0.31725905894015133,0.9819023544492499,0.0,0.5891414126695499,5.0,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,,C13 H18 O5,13,18,5,,,,,,
307,253.145009,253.1446252770885,253.14453265530582,4501072.0,nan,421676.1,33.31,-1,0.3658849815901013,0.9760017829005487,0.0,0.5856010697403292,4.0,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,,C14 H22 O4,14,22,4,,,,,,
310,255.051473,255.05108038925297,255.05102619163094,5237155.0,nan,431697.1,39.15,-1,0.2124971729931958,0.9918401495619538,0.0,0.5951040897371722,6.0,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,,C11 H12 O7,11,12,7,,,,,,
311,255.087893,255.08750021946486,255.0874117010152,6558131.5,nan,439506.6,49.65,-1,0.34701222241308394,0.9783873793083147,0.0,0.5870324275849887,5.0,1.3333333333333333,0.5,O6,de-protonated,0,,C12 H16 O6,12,16,6,,,,,,
312,255.124246,255.12385304998907,255.1237972103995,3447235.8,nan,438507.5,24.92,-1,0.21887252458832304,0.9913453367526963,0.0,0.5948072020516177,4.0,1.5384615384615385,0.38461538461538464,O5,de-protonated,0,,C13 H20 O5,13,20,5,,,,,,
314,257.067148,257.0667459922814,257.0666762561089,5486890.0,nan,422384.4,41.13,-1,0.27127659460098746,0.9867357670608886,0.0,0.5920414602365331,5.0,1.2727272727272727,0.6363636363636364,O7,de-protonated,0,,C11 H14 O7,11,14,7,,,,,,
315,257.103553,257.10315082256324,257.1030617654932,5970234.5,nan,434684.7,44.97,-1,0.34638665694876913,0.9784643876304618,0.0,0.5870786325782771,4.0,1.5,0.5,O6,de-protonated,0,,C12 H18 O6,12,18,6,,,,,,
317,257.139893,257.1394906531481,257.13944727487745,2940746.8,nan,443213.5,20.89,-1,0.16869551162955854,0.9948496103884248,0.0,0.5969097662330548,3.0,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,,C13 H22 O5,13,22,5,,,,,,
320,259.061653,259.0612416940034,259.0611969524875,1759402.0,nan,491548.4,11.4,-1,0.17270635837327936,0.9946024611511295,0.0,0.5967614766906777,9.0,0.8571428571428571,0.35714285714285715,O5,de-protonated,0,,C14 H12 O5,14,12,5,,,,,,
322,259.082808,259.0823965953799,259.0823263205869,5373107.5,nan,446163.1,39.91,-1,0.2712450286197089,0.9867388331990528,0.0,0.5920432999194316,4.0,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,,C11 H16 O7,11,16,7,,,,,,
323,259.101453,259.10104150845785,259.1009537652418,2007739.9,nan,442728.1,13.36,-1,0.3386448979880007,0.9794064031306453,0.0,0.5876438418783871,3.0,1.6666666666666667,0.3333333333333333,S1 O4,de-protonated,0,,C12 H20 O4 S1,12,20,4,1,,,,,
324,259.119215,259.11880342565235,259.1187118299712,5051588.0,nan,441724.2,37.37,-1,0.35348925796477576,0.9775822395903201,0.0,0.586549343754192,3.0,1.6666666666666667,0.5,O6,de-protonated,0,,C12 H20 O6,12,20,6,,,,,,
326,259.155564,259.15515225619527,259.15509733935545,1912532.3,nan,393377.0,12.61,-1,0.21190723384948873,0.9918852096956551,0.0,0.595131125817393,2.0,1.8461538461538463,0.38461538461538464,O5,de-protonated,0,,C13 H24 O5,13,24,5,,,,,,
330,261.040965,261.0405444665543,261.0404615075812,3055141.3,nan,418012.1,21.62,-1,0.3178012045742436,0.9818410150570782,0.0,0.5891046090342469,9.0,0.7692307692307693,0.46153846153846156,O6,de-protonated,0,,C13 H10 O6,13,10,6,,,,,,
332,261.077333,261.0769122970086,261.0768470169655,3146293.5,nan,441970.2,22.34,-1,0.250041487367432,0.9887197968968799,0.0,0.5932318781381279,8.0,1.0,0.35714285714285715,O5,de-protonated,0,,C14 H14 O5,14,14,5,,,,,,
334,261.098516,261.09809519825455,261.0979763850649,2169407.0,nan,450184.6,14.63,-1,0.4550521275703623,0.9631240859129726,0.0,0.5778744515477835,3.0,1.6363636363636365,0.6363636363636364,O7,de-protonated,0,,C11 H18 O7,11,18,7,,,,,,
335,261.113762,261.1133411271785,261.1132325263498,2183750.0,nan,432635.4,14.74,-1,0.4159146882192832,0.9690995805560446,0.0,0.5814597483336268,7.0,1.2,0.26666666666666666,O4,de-protonated,0,,C15 H18 O4,15,18,4,,,,,,
338,263.020277,263.0198472391052,263.0197260626749,2717089.8,nan,477787.6,18.94,-1,0.4607123279760752,0.9622186714092245,0.0,0.5773312028455346,9.0,0.6666666666666666,0.5833333333333334,O7,de-protonated,0,,C12 H8 O7,12,8,7,,,,,,
339,263.056631,263.05620106962476,263.0561115720592,4552626.0,nan,420882.5,33.42,-1,0.3402223390038676,0.9792161146261649,0.0,0.5875296687756989,8.0,0.9230769230769231,0.46153846153846156,O6,de-protonated,0,,C13 H12 O6,13,12,6,,,,,,
341,263.09299,263.092559900121,263.09249708144347,5190594.5,nan,439233.4,38.45,-1,0.23877031164739124,0.9897087029995331,0.0,0.5938252217997199,7.0,1.1428571428571428,0.35714285714285715,O5,de-protonated,0,,C14 H16 O5,14,16,5,,,,,,
343,263.129441,263.1290107301883,263.1288825908278,3649491.0,nan,425746.5,26.3,-1,0.48698325803352494,0.9578816524474606,0.0,0.5747289914684763,6.0,1.3333333333333333,0.26666666666666666,O4,de-protonated,0,,C15 H20 O4,15,20,4,,,,,,
344,263.142282,263.1418516703243,263.1417697504498,1228504.8,nan,430928.6,7.2,-1,0.31131459889908064,0.9825682988168487,0.0,0.5895409792901092,1.0,2.0833333333333335,0.3333333333333333,P1 O4,de-protonated,0,,C12 H25 O4 P1,12,25,4,,,,,1,
346,264.088265,264.0878302602009,264.08774605363647,1374083.6,nan,446988.0,8.28,-1,0.3188582799099595,0.9817211254229319,0.0,0.5890326752537591,7.0,1.1538461538461537,0.38461538461538464,N1 O5,de-protonated,0,,C13 H15 O5 N1,13,15,5,,1,,,,
350,265.035886,265.0354468424414,265.0353761271529,4018991.5,nan,437833.5,28.97,-1,0.2668145268237133,0.9871657401680953,0.0,0.5922994441008572,8.0,0.8333333333333334,0.5833333333333334,O7,de-protonated,0,,C12 H10 O7,12,10,7,,,,,,
352,265.072279,265.0718396727791,265.0717616365372,5843776.0,nan,427454.8,43.25,-1,0.29439666237772094,0.9843969607995234,0.0,0.5906381764797141,7.0,1.0769230769230769,0.46153846153846156,O6,de-protonated,0,,C13 H14 O6,13,14,6,,,,,,
354,265.108711,265.10827150293505,265.10814714592146,6081360.5,nan,413644.1,45.11,-1,0.4690803165749804,0.9608612075670905,0.0,0.5765167245402543,6.0,1.2857142857142858,0.35714285714285715,O5,de-protonated,0,,C14 H18 O5,14,18,5,,,,,,
356,265.145056,265.1446163334966,265.1445326553058,3148128.8,nan,421320.0,22.16,-1,0.3155946303643578,0.9820900405503776,0.0,0.5892540243302266,5.0,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,,C15 H22 O4,15,22,4,,,,,,
357,265.14841,265.14797031786037,265.1479039586758,14631778.0,nan,414544.7,112.01,-1,0.2502723332738842,0.9888272027164896,0.9922122744517826,0.9901812314106069,0.0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,,C12 H26 O4 S1,12,26,4,1,,,,,
358,265.18144,265.18100016387626,265.18091816469007,1537393.3,nan,445715.8,9.55,-1,0.3092197838390103,0.9828000806175349,0.0,0.5896800483705209,4.0,1.625,0.1875,O3,de-protonated,0,,C16 H26 O3,16,26,3,,,,,,
359,266.067575,266.06713103276115,266.0670106087302,1232385.5,nan,402621.5,7.16,-1,0.45260790013783975,0.9635118685070571,0.0,0.5781071211042342,7.0,1.0833333333333333,0.5,N1 O6,de-protonated,0,,C12 H13 O6 N1,12,13,6,,1,,,,
361,266.151769,266.15132464025316,266.15125879374807,2060071.5,nan,482371.1,13.64,-1,0.24740256872388527,0.9889553284136879,0.9922122744517826,0.9902581068289258,0.0,2.3636363636363638,0.36363636363636365,13C1 S1 O4,de-protonated,1,357,C11 H26 O4 S1 13C1,11,26,4,1,,1,,,
365,267.015109,267.0146606154072,267.0146406822466,2116013.5,nan,394726.4,14.08,-1,0.07465193880195611,0.9989893135326411,0.0,0.5993935881195847,8.0,0.7272727272727273,0.7272727272727273,O8,de-protonated,0,,C11 H8 O8,11,8,8,,,,,,
366,267.051539,267.0510904455724,267.0510261916309,5630654.0,nan,422435.9,41.57,-1,0.24060548434833295,0.9895507311881307,0.0,0.5937304387128784,7.0,1.0,0.5833333333333334,O7,de-protonated,0,,C12 H12 O7,12,12,7,,,,,,
368,267.087961,267.087512275775,267.0874117010152,8801998.0,nan,407644.9,66.39,-1,0.37656121332079023,0.48729952474624766,0.8759295984134849,0.6427515542131426,6.0,1.2307692307692308,0.46153846153846156,O6,de-protonated,0,,C13 H16 O6,13,16,6,,,,,,
369,267.124305,267.1238561063411,267.12379721039946,6149855.0,nan,404642.1,45.64,-1,0.2204818225790863,0.9912181615803407,0.0,0.5947308969482044,5.0,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,,C14 H20 O5,14,20,5,,,,,,
370,267.160732,267.1602829365204,267.1601827197838,1485551.3,nan,496032.2,9.14,-1,0.37511853592092903,0.9747908389006119,0.0,0.5848745033403672,4.0,1.6,0.26666666666666666,O4,de-protonated,0,,C15 H24 O4,15,24,4,,,,,,
371,268.083121,268.0826676363911,268.0826606732082,1546639.9,nan,455959.2,9.62,-1,0.025974014434012878,0.9998775932402832,0.0,0.5999265559441699,6.0,1.25,0.5,N1 O6,de-protonated,0,,C12 H15 O6 N1,12,15,6,,1,,,,
376,269.030854,269.03039621810933,269.0302907467246,2867771.8,nan,386149.2,19.95,-1,0.39204278620015465,0.972497068539456,0.0,0.5834982411236737,7.0,0.9090909090909091,0.7272727272727273,O8,de-protonated,0,,C11 H10 O8,11,10,8,,,,,,
377,269.067184,269.0667260487408,269.0666762561089,8514124.0,nan,411274.7,64.13,-1,0.185056851303027,0.4969026838479144,0.8843699161556753,0.6518895767710188,6.0,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,,C12 H14 O7,12,14,7,,,,,,
378,269.103605,269.103146878948,269.1030617654932,10842717.0,nan,404786.4,82.35,-1,0.3162857169192162,0.9735310558195824,0.9848178229325255,0.9780457626647596,5.0,1.3846153846153846,0.46153846153846156,O6,de-protonated,0,,C13 H18 O6,13,18,6,,,,,,
379,269.131755,269.13129674771415,269.13120506640007,2281577.5,nan,437599.8,15.36,-1,0.34065657325822435,0.9791635837439956,0.0,0.5874981502463973,4.0,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,,C14 H23 O3 P1,14,23,3,,,,,1,
380,269.139985,269.13952670934634,269.13944727487745,5670509.0,nan,435144.3,41.88,-1,0.2951424240902957,0.9843184337180718,0.0,0.5905910602308431,4.0,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,,C14 H22 O5,14,22,5,,,,,,
381,270.062414,270.06195140903054,270.06192522830185,1261069.5,nan,320255.7,7.38,-1,0.09694342760075439,0.9982961932668541,0.0,0.5989777159601125,6.0,1.1818181818181819,0.6363636363636364,N1 O7,de-protonated,0,,C11 H13 O7 N1,11,13,7,,1,,,,
382,270.106999,270.10653620117756,270.10641660056547,1754145.6,nan,402264.2,11.23,-1,0.4427907104176414,0.9650498846374054,0.9848178229325255,0.9729570599554535,5.0,1.5,0.5,13C1 O6,de-protonated,1,378,C12 H18 O6 13C1,12,18,6,,,1,,,
386,271.04646,271.04599282145955,271.04594081120257,5084617.5,nan,413692.7,36.97,-1,0.19188723809613065,0.9933411988789705,0.0,0.5960047193273823,6.0,1.0909090909090908,0.7272727272727273,O8,de-protonated,0,,C11 H12 O8,11,12,8,,,,,,
387,271.061777,271.0613097500525,271.0611969524875,1753296.5,nan,417941.2,11.13,-1,0.4161332063660552,0.9690676099473683,0.0,0.581440565968421,10.0,0.8,0.3333333333333333,O5,de-protonated,0,,C15 H12 O5,15,12,5,,,,,,
389,271.082832,271.08236465189515,271.0823263205869,9999834.0,nan,399030.2,75.11,-1,0.141400986065267,0.996151611677924,0.9952535108041307,0.9957923713284067,5.0,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,,C12 H16 O7,12,16,7,,,,,,
390,271.119279,271.11881148198114,271.1187118299712,8054250.5,nan,415202.6,60.01,-1,0.36755858454820495,0.9771515314791165,0.9791857331927192,0.9779652121645576,4.0,1.5384615384615385,0.46153846153846156,O6,de-protonated,0,,C13 H20 O6,13,20,6,,,,,,
392,271.155601,271.15513331264987,271.15509733935545,1971194.9,nan,472942.7,12.82,-1,0.1326668566040614,0.9968115074063008,0.0,0.5980869044437804,3.0,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,,C14 H24 O5,14,24,5,,,,,,
393,272.07815,272.07767801177465,272.07757529277984,1246107.0,nan,418126.6,7.19,-1,0.377535688855899,0.9744691076695214,0.0,0.5846814646017129,5.0,1.3636363636363635,0.6363636363636364,N1 O7,de-protonated,0,,C11 H15 O7 N1,11,15,7,,1,,,,
394,272.086194,272.08572197427395,272.0856811556592,1368478.5,nan,378730.9,8.14,-1,0.15002117932270487,0.9959245787498588,0.9952535108041307,0.9956561515715676,5.0,1.4545454545454546,0.6363636363636364,13C1 O7,de-protonated,1,389,C11 H16 O7 13C1,11,16,7,,,1,,,
395,272.122633,272.12216080439725,272.12206666504346,1364655.0,nan,438862.9,8.11,-1,0.3459453139730499,0.978518637849652,0.9791857331927192,0.9787854759868788,4.0,1.6666666666666667,0.5,13C1 O6,de-protonated,1,390,C12 H20 O6 13C1,12,20,6,,,1,,,
401,273.062157,273.0616804243855,273.06159087568057,5088598.5,nan,411103.0,37.0,-1,0.32794324765135663,0.980674949105914,0.0,0.5884049694635484,5.0,1.2727272727272727,0.7272727272727273,O8,de-protonated,0,,C11 H14 O8,11,14,8,,,,,,
404,273.09853,273.0980532548164,273.0979763850649,7577959.0,nan,410139.9,56.31,-1,0.281473164106184,0.9857271755857252,0.0,0.5914363053514351,4.0,1.5,0.5833333333333334,O7,de-protonated,0,,C12 H18 O7,12,18,7,,,,,,
406,273.134879,273.1344020853593,273.13436189444917,7345527.0,nan,401738.5,54.51,-1,0.14714702988707423,0.9960789354991135,0.0,0.597647361299468,3.0,1.6923076923076923,0.46153846153846156,O6,de-protonated,0,,C13 H22 O6,13,22,6,,,,,,
407,274.130173,274.1296914453507,274.12961086664217,1283511.4,nan,388241.7,7.47,-1,0.2939438329683879,0.9844445488546635,0.0,0.5906667293127981,3.0,1.75,0.5,N1 O6,de-protonated,0,,C12 H21 O6 N1,12,21,6,,1,,,,
412,275.020302,275.01981629561584,275.0197260626749,2298567.8,nan,428036.6,15.35,-1,0.3280962504466628,0.980657088166064,0.0,0.5883942528996384,10.0,0.6153846153846154,0.5384615384615384,O7,de-protonated,0,,C13 H8 O7,13,8,7,,,,,,
415,275.041386,275.0409001973233,275.0408554307743,1316945.3,nan,363042.1,7.73,-1,0.16276327003882615,0.9952046175367104,0.0,0.5971227705220262,5.0,1.2,0.9,O9,de-protonated,0,,C10 H12 O9,10,12,9,,,,,,
416,275.05671,275.0562241258836,275.0561115720592,4177112.3,nan,424907.5,29.92,-1,0.4092031395518974,0.9700738501809264,0.0,0.5820443101085558,9.0,0.8571428571428571,0.42857142857142855,O6,de-protonated,0,,C14 H12 O6,14,12,6,,,,,,
417,275.060019,275.0595331104572,275.0594828754292,1426137.6,nan,423051.0,8.58,-1,0.1826333253520168,0.9939660692138225,0.0,0.5963796415282935,4.0,1.4545454545454546,0.5454545454545454,S1 O6,de-protonated,0,,C11 H16 O6 S1,11,16,6,1,,,,,
419,275.077835,275.0773490274,275.07724094015856,2193121.8,nan,420285.7,14.53,-1,0.3929341484070352,0.972373608709994,0.0,0.5834241652259964,4.0,1.4545454545454546,0.7272727272727273,O8,de-protonated,0,,C11 H16 O8,11,16,8,,,,,,
420,275.093062,275.0925759564125,275.09249708144347,4432104.5,nan,378728.2,31.9,-1,0.2867216294255601,0.9851939356773473,0.0,0.5911163614064083,8.0,1.0666666666666667,0.3333333333333333,O5,de-protonated,0,,C15 H16 O5,15,16,5,,,,,,
421,275.09644,275.0959539406644,275.0958683848135,1383658.0,nan,423393.2,8.25,-1,0.31100376530465573,0.9826027865592127,0.0,0.5895616719355277,3.0,1.6666666666666667,0.4166666666666667,S1 O5,de-protonated,0,,C12 H20 O5 S1,12,20,5,1,,,,,
423,275.114174,275.1136878579894,275.1136264495429,3128562.0,nan,422724.8,21.78,-1,0.22321121392427345,0.9910003786748125,0.0,0.5946002272048875,3.0,1.6666666666666667,0.5833333333333334,O7,de-protonated,0,,C12 H20 O7,12,20,7,,,,,,
424,275.129496,275.1290097865591,275.1288825908278,1577464.9,nan,468443.8,9.75,-1,0.46231326241500303,0.9619607088509339,0.0,0.5771764253105603,7.0,1.25,0.25,O4,de-protonated,0,,C16 H20 O4,16,20,4,,,,,,
425,275.150626,275.1501396880521,275.15001195892717,1257090.4,nan,276636.0,7.26,-1,0.4642163161007317,0.9616529914761159,0.0,0.5769917948856695,2.0,1.8461538461538463,0.46153846153846156,O6,de-protonated,0,,C13 H24 O6,13,24,6,,,,,,
426,275.9718,275.9713098597818,275.9712166969317,1683571.4,nan,396955.9,10.57,-1,0.33758176375436394,0.9795341721279337,0.0,0.5877205032767602,10.0,0.6666666666666666,0.08333333333333333,N1 S2 P1 O1,de-protonated,0,,C12 H8 O1 S2 N1 P1,12,8,1,2,1,,,1,
429,276.109373,276.10888221842373,276.1088754217359,2187441.3,nan,398219.5,14.48,-1,0.024615970172957007,0.9998900579406534,0.0,0.599934034764392,3.0,1.7272727272727273,0.6363636363636364,N1 O7,de-protonated,0,,C11 H19 O7 N1,11,19,7,,1,,,,
433,277.035952,277.03545689876086,277.0353761271529,5144657.0,nan,388797.8,37.42,-1,0.29155701726576777,0.9846942074752876,0.0,0.5908165244851725,9.0,0.7692307692307693,0.5384615384615384,O7,de-protonated,0,,C13 H10 O7,13,10,7,,,,,,
435,277.072331,277.07183572916387,277.0717616365372,5854305.5,nan,411296.6,42.93,-1,0.2674131287799265,0.9871084611187705,0.0,0.5922650766712623,8.0,1.0,0.42857142857142855,O6,de-protonated,0,,C14 H14 O6,14,14,6,,,,,,
438,277.10871,277.1082145595668,277.10814714592146,7645297.5,nan,404469.4,56.82,-1,0.2432755804848621,0.4946593873532085,0.859523230357577,0.6406049245549559,7.0,1.2,0.3333333333333333,O5,de-protonated,0,,C15 H18 O5,15,18,5,,,,,,
440,277.145104,277.14460838989993,277.1445326553058,2818690.0,nan,407583.7,19.37,-1,0.27326750200764527,0.9865416802160385,0.0,0.5919250081296231,6.0,1.375,0.25,O4,de-protonated,0,,C16 H22 O4,16,22,4,,,,,,
441,278.088703,278.0882029908907,278.0881399768296,1270824.8,nan,464848.6,7.28,-1,0.22659744169250584,0.9907265293899415,0.0,0.5944359176339649,3.0,1.7,0.8,N1 O8,de-protonated,0,,C10 H17 O8 N1,10,17,8,,1,,,,
