Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P
252,225.077243,225.07695828807613,225.0768470169655,2881792.0,nan,506986.4,21.29,-1,0.4943694213804851,0.9566226570605939,0.0,0.5739735942363563,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,
254,226.036031,226.03574302621476,226.03571047977422,1230964.3,nan,483303.3,7.68,-1,0.14398804714231023,0.9962451717015836,0.0,0.5977471030209501,6.0,1.0,0.6666666666666666,N1 O6,de-protonated,0,,C9 H9 O6 N1,9,9,6,,1,,
255,226.072465,226.0721769022638,226.0720959891585,1276034.5,nan,406216.4,8.06,-1,0.3579084139217495,0.9770247522150243,0.0,0.5862148513290145,5.0,1.3,0.5,N1 O5,de-protonated,0,,C10 H13 O5 N1,10,13,5,,1,,
257,227.056459,227.05616755464993,227.05611157205922,3796483.3,nan,422907.6,28.82,-1,0.2465583961661802,0.9890301575604525,0.0,0.5934180945362715,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,
258,227.092883,227.09259143073302,227.0924970814435,3754513.5,nan,478506.3,28.47,-1,0.4154663440605474,0.9691651269114343,0.0,0.5814990761468606,4.0,1.4545454545454546,0.45454545454545453,O5,de-protonated,0,,C11 H16 O5,11,16,5,,,,
259,227.129227,227.12893530708828,227.12888259082783,1327647.8,nan,594927.6,8.48,-1,0.23209844496317292,0.9902730318315964,0.0,0.5941638190989579,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,
260,228.05168,228.05138516884105,228.05136054425222,1297546.9,nan,409589.9,8.23,-1,0.10797825881522649,0.9978866707688998,0.0,0.5987320024613398,5.0,1.2222222222222223,0.6666666666666666,N1 O6,de-protonated,0,,C9 H11 O6 N1,9,11,6,,1,,
262,229.035709,229.0354108211081,229.03537612715292,1843984.8,nan,522061.8,12.65,-1,0.15147858710088366,0.9958451768253377,0.0,0.5975071060952026,5.0,1.1111111111111112,0.7777777777777778,O7,de-protonated,0,,C9 H10 O7,9,10,7,,,,
263,229.072147,229.07184869714357,229.07176163653722,5726495.5,nan,445109.9,44.43,-1,0.38005822160375824,0.9741312608018503,0.0,0.5844787564811101,4.0,1.4,0.6,O6,de-protonated,0,,C10 H14 O6,10,14,6,,,,
264,229.108511,229.10821257343076,229.10814714592152,2394413.8,nan,488580.5,17.15,-1,0.2855747822877425,0.9853112707851618,0.0,0.591186762471097,3.0,1.6363636363636365,0.45454545454545453,O5,de-protonated,0,,C11 H18 O5,11,18,5,,,,
265,229.144856,229.14455744978264,229.14453265530582,1252924.1,nan,645757.6,7.81,-1,0.10820453155695398,0.9978778137722608,0.0,0.5987266882633565,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,
272,231.087785,231.0874798398073,231.0874117010152,4161093.8,nan,485695.0,31.61,-1,0.29486154858892916,0.9843480318821008,0.0,0.5906088191292604,3.0,1.6,0.6,O6,de-protonated,0,,C10 H16 O6,10,16,6,,,,
273,231.124155,231.1238497160741,231.12379721039952,1537876.4,nan,582956.5,10.13,-1,0.22717554491621303,0.9906793729170166,0.0,0.59440762375021,2.0,1.8181818181818181,0.45454545454545453,O5,de-protonated,0,,C11 H20 O5,11,20,5,,,,
277,233.04589,233.04557817820216,233.0455468880095,1387102.6,nan,415980.5,8.89,-1,0.13426642589767726,0.9967342827767808,0.0,0.5980405696660684,8.0,0.8333333333333334,0.4166666666666667,O5,de-protonated,0,,C12 H10 O5,12,10,5,,,,
278,233.155042,233.1547298068597,233.15470341616242,3106699.0,nan,495239.2,22.97,-1,0.113189641467602,0.9976779985206683,0.0,0.598606799112401,5.0,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,,C15 H22 O2,15,22,2,,,,
280,235.025192,235.0248734444834,235.02481144310323,1729161.3,nan,480391.7,11.61,-1,0.26380780731831394,0.9874515552927333,0.0,0.5924709331756399,8.0,0.7272727272727273,0.5454545454545454,O6,de-protonated,0,,C11 H8 O6,11,8,6,,,,
281,235.043808,235.04348938115052,235.0434388877581,2001297.0,nan,490522.4,13.82,-1,0.21482578990867104,0.9916610846121351,0.0,0.594996650767281,7.0,1.0,0.25,S1 O3,de-protonated,0,,C12 H12 O3 S1,12,12,3,1,,,
282,235.061583,235.06126432067876,235.0611969524875,2574488.3,nan,515917.0,18.49,-1,0.2865985204129546,0.9852065529472356,0.0,0.5911239317683413,7.0,1.0,0.4166666666666667,O5,de-protonated,0,,C12 H12 O5,12,12,5,,,,
286,237.040836,237.0405105871267,237.04046150758123,2793931.8,nan,484421.7,20.26,-1,0.20705134121182955,0.9922514242187286,0.0,0.5953508545312372,7.0,0.9090909090909091,0.5454545454545454,O6,de-protonated,0,,C11 H10 O6,11,10,6,,,,
