Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P
320,265.14855,265.14801977354705,265.1479039586758,31320414.0,nan,383688.7,243.92,-1,0.4367934633299027,0.3219913436966507,0.8506915947556297,0.5334714441202424,0.0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,,C12 H26 O4 S1,12,26,4,1,,,,
325,266.99489,266.99434898289144,266.9943806940727,1825679.5,nan,454225.4,11.89,-1,-0.11877096871486367,0.997443659320526,0.0,0.5984661955923156,12.0,0.5333333333333333,0.06666666666666667,S2 O1,de-protonated,0,,C15 H8 O1 S2,15,8,1,2,,,,
329,267.124408,267.12386622594306,267.12379721039946,7945417.0,nan,392909.0,60.03,-1,0.25836538834267875,0.9785852197875962,0.9476430335829098,0.9662083453057215,5.0,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,,C14 H20 O5,14,20,5,,,,,
334,268.127811,268.1272633617056,268.12715204547175,1800070.5,nan,431352.7,11.68,-1,0.41516210879997406,0.9692095673068474,0.9476430335829098,0.9605829538172723,5.0,1.5384615384615385,0.38461538461538464,13C1 O5,de-protonated,1,329,C13 H20 O5 13C1,13,20,5,,,1,,
338,269.06729,269.06673687106235,269.0666762561089,7307304.5,nan,394290.1,55.0,-1,0.22527856025867457,0.9908336704984008,0.0,0.5945002022990404,6.0,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,,C12 H14 O7,12,14,7,,,,,
340,269.131883,269.13132949355827,269.13120506640007,4641861.0,nan,413286.6,34.03,-1,0.46232898993433563,0.9619581705415711,0.0,0.5771749023249426,4.0,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,,C14 H23 O3 P1,14,23,3,,,,,1
341,269.140135,269.1395814453307,269.13944727487745,6881353.0,nan,403226.1,51.65,-1,0.49851649245404733,0.9559082050015184,0.0,0.573544923000911,4.0,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,,C14 H22 O5,14,22,5,,,,,
346,271.046632,271.0460673030966,271.04594081120257,3287451.0,nan,410042.0,23.18,-1,0.4666806433547383,0.9612527871096221,0.0,0.5767516722657733,6.0,1.0909090909090908,0.7272727272727273,O8,de-protonated,0,,C11 H12 O8,11,12,8,,,,,
347,271.065203,271.0646381945612,271.06456825585747,1576867.4,nan,387371.9,9.83,-1,0.2580149231444552,0.9879933148403464,0.0,0.5927959889042078,5.0,1.3333333333333333,0.4166666666666667,S1 O5,de-protonated,0,,C12 H16 O5 S1,12,16,5,1,,,,
348,271.082973,271.08240809070713,271.0823263205869,8074155.5,nan,384353.7,60.53,-1,0.3016431256958699,0.9836257816606925,0.0,0.5901754689964155,5.0,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,,C12 H16 O7,12,16,7,,,,,
