Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
383,259.028641,259.0281990063887,259.0281827464732,1359188.5,nan,455351.0,8.18,-1,0.06277276608901428,0.9992852714782036,0.0,0.5995711628869221,5.0,1.2,0.6,S1 O6,de-protonated,0,,C10 H12 O6 S1,10,12,6,1,,,,,,
385,259.061766,259.0613238289066,259.0611969524875,1474916.0,nan,484905.5,9.09,-1,0.48975462409433757,0.9574112918226109,0.0,0.5744467750935665,9.0,0.8571428571428571,0.35714285714285715,O5,de-protonated,0,,C14 H12 O5,14,12,5,,,,,,,
388,259.082896,259.08245371569313,259.0823263205869,6268526.0,nan,431934.3,46.62,-1,0.4917166988666551,0.9570768121966898,0.0,0.5742460873180139,4.0,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,,C11 H16 O7,11,16,7,,,,,,,
392,259.119282,259.1188395207387,259.1187118299712,6124158.5,nan,408718.8,45.49,-1,0.4927886781984978,0.9568935539424114,0.0,0.5741361323654468,3.0,1.6666666666666667,0.5,O6,de-protonated,0,,C12 H20 O6,12,20,6,,,,,,,
394,259.155625,259.15518232601465,259.15509733935545,1553807.6,nan,455039.1,9.71,-1,0.3279374400733312,0.980675626901844,0.0,0.5884053761411063,2.0,1.8461538461538463,0.38461538461538464,O5,de-protonated,0,,C13 H24 O5,13,24,5,,,,,,,
396,260.057018,260.0565704963952,260.0564459246805,1221939.1,nan,502311.2,7.1,-1,0.4790179849770921,0.9592199332314258,0.0,0.5755319599388555,9.0,0.8461538461538461,0.38461538461538464,N1 O5,de-protonated,0,,C13 H11 O5 N1,13,11,5,,1,,,,,
399,261.041025,261.0405722241339,261.0404615075812,4453885.5,nan,419541.8,32.4,-1,0.4241355996837592,0.9678859809821445,0.0,0.5807315885892866,9.0,0.7692307692307693,0.46153846153846156,O6,de-protonated,0,,C13 H10 O6,13,10,6,,,,,,,
402,261.077419,261.07696602913666,261.0768470169655,3021326.8,nan,430736.6,21.19,-1,0.4558511125852415,0.9629969060720492,0.0,0.5777981436432296,8.0,1.0,0.35714285714285715,O5,de-protonated,0,,C14 H14 O5,14,14,5,,,,,,,
403,261.098506,261.0980529161535,261.0979763850649,2820632.5,nan,462654.9,19.62,-1,0.29311253066409093,0.9845317260915789,0.0,0.5907190356549473,3.0,1.6363636363636365,0.6363636363636364,O7,de-protonated,0,,C11 H18 O7,11,18,7,,,,,,,
404,261.113807,261.1133538341715,261.1132325263498,2552863.8,nan,388230.4,17.52,-1,0.46457937243134473,0.9615941541221095,0.0,0.5769564924732656,7.0,1.2,0.26666666666666666,O4,de-protonated,0,,C15 H18 O4,15,18,4,,,,,,,
406,261.134928,261.1344747210062,261.13436189444917,1267241.5,nan,527744.7,7.46,-1,0.43206323445979844,0.9666946597515581,0.0,0.5800167958509348,2.0,1.8333333333333333,0.5,O6,de-protonated,0,,C12 H22 O6,12,22,6,,,,,,,
408,262.036226,262.03576789189566,262.0357104797742,1415886.1,nan,439729.9,8.62,-1,0.2191003713155022,0.9913273867344653,0.0,0.5947964320406791,9.0,0.75,0.5,N1 O6,de-protonated,0,,C12 H9 O6 N1,12,9,6,,1,,,,,
412,262.093813,262.0933545833474,262.0932253572579,1481449.0,nan,408115.8,9.13,-1,0.49305390976109265,0.9568481556064653,0.0,0.5741088933638792,3.0,1.7,0.7,N1 O7,de-protonated,0,,C10 H17 O7 N1,10,17,7,,1,,,,,
417,263.020316,263.0198526191897,263.0197260626749,5367194.0,nan,425875.8,39.55,-1,0.4811673887217666,0.9588607932165829,0.0,0.5753164759299497,9.0,0.6666666666666666,0.5833333333333334,O7,de-protonated,0,,C12 H8 O7,12,8,7,,,,,,,
419,263.056678,263.0562144243639,263.0561115720592,6671787.0,nan,422479.1,49.76,-1,0.3909899833300825,0.9726425479754324,0.0,0.5835855287852594,8.0,0.9230769230769231,0.46153846153846156,O6,de-protonated,0,,C13 H12 O6,13,12,6,,,,,,,
420,263.060009,263.0595454065165,263.0594828754292,1449900.6,nan,423003.5,8.88,-1,0.2377070260077214,0.9897996887491304,0.0,0.5938798132494783,3.0,1.6,0.6,S1 O6,de-protonated,0,,C10 H16 O6 S1,10,16,6,1,,,,,,
423,263.093063,263.0925992294148,263.09249708144347,6294972.0,nan,405495.0,46.81,-1,0.38825877773169876,0.9730182309085822,0.0,0.5838109385451493,7.0,1.1428571428571428,0.35714285714285715,O5,de-protonated,0,,C14 H16 O5,14,16,5,,,,,,,
426,263.129461,263.1289970343961,263.1288825908278,3888077.3,nan,408538.6,27.97,-1,0.434933509261,0.966258258441495,0.0,0.579754955064897,6.0,1.3333333333333333,0.26666666666666666,O4,de-protonated,0,,C15 H20 O4,15,20,4,,,,,,,
427,263.142333,263.1418689654286,263.1417697504498,1665747.1,nan,445045.2,10.57,-1,0.37704002266833925,0.9745352422734203,0.0,0.5847211453640522,1.0,2.0833333333333335,0.3333333333333333,P1 O4,de-protonated,0,,C12 H25 O4 P1,12,25,4,,,,,1,,
428,264.051939,264.0514700918042,264.0513605442522,1427324.8,nan,412881.5,8.62,-1,0.41487213625011665,0.9692518959066186,0.0,0.5815511375439711,8.0,0.9166666666666666,0.5,N1 O6,de-protonated,0,,C12 H11 O6 N1,12,11,6,,1,,,,,
