Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,15N
553,299.157793,299.1572773985606,299.1572343324,2323672.0,nan,379579.5,15.1,-1,0.14395827907981268,0.9790314869157654,0.993290160230891,0.9847349562418156,4.0,1.625,0.125,S1 O2 18O1,de-protonated,1,540,C16 H26 O2 S1 18O1,16,26,2,1,,,,,1,
554,299.160329,299.1598133897626,299.1596990092487,6100697.0,nan,342684.8,43.68,-1,0.3823393132729272,0.9752943525867037,0.993290160230891,0.9824926756443786,4.0,1.8571428571428572,0.21428571428571427,13C2 S1 O3,de-protonated,1,540,C14 H26 O3 S1 13C2,14,26,3,1,,2,,,,
555,300.152754,300.1522349468045,300.15214000423236,3000883.5,nan,356334.6,20.22,-1,0.3163148267413081,0.9766585243464561,0.993290160230891,0.98331117870023,4.0,1.7333333333333334,0.2,13C1 34S1 O3,de-protonated,1,540,C15 H26 O3 13C1 34S1,15,26,3,,,1,1,,,
555,300.152754,300.1522349468045,300.1522748639277,3000883.5,nan,356334.6,20.22,-1,-0.13298957397122835,0.9967960011783492,0.0,0.5980776007070095,8.0,1.3333333333333333,0.05555555555555555,N1 P1 O1,de-protonated,0,,C18 H24 O1 N1 P1,18,24,1,,1,,,1,,
558,301.035943,301.03542088281205,301.0353761271529,1361254.3,nan,384461.0,7.82,-1,0.1486724241792421,0.9959973827410502,0.0,0.5975984296446301,11.0,0.6666666666666666,0.4666666666666667,O7,de-protonated,0,,C15 H10 O7,15,10,7,,,,,,,
559,301.072431,301.0719087562265,301.0717616365372,2619251.0,nan,376508.3,17.33,-1,0.48865323171607017,0.9575985138014297,0.0,0.5745591082808578,10.0,0.875,0.375,O6,de-protonated,0,,C16 H14 O6,16,14,6,,,,,,,
561,301.093493,301.0929706831575,301.0928910046366,2033018.3,nan,397352.8,12.9,-1,0.26463102669231403,0.9873736148632447,0.0,0.5924241689179468,5.0,1.3846153846153846,0.6153846153846154,O8,de-protonated,0,,C13 H18 O8,13,18,8,,,,,,,
563,301.108781,301.10825863011974,301.10814714592146,2468223.5,nan,378705.8,16.19,-1,0.3702463693790421,0.9754333778036322,0.0,0.5852600266821792,9.0,1.0588235294117647,0.29411764705882354,O5,de-protonated,0,,C17 H18 O5,17,18,5,,,,,,,
566,301.145184,301.14466150382907,301.1445326553058,1908108.1,nan,384799.5,11.95,-1,0.42786273467685504,0.9673284528533261,0.0,0.5803970717119956,8.0,1.2222222222222223,0.2222222222222222,O4,de-protonated,0,,C18 H22 O4,18,22,4,,,,,,,
573,302.125166,302.1246401040387,302.1245254862139,2164446.8,nan,353387.6,13.89,-1,0.37937279213568337,0.974223272473148,0.0,0.5845339634838888,4.0,1.6153846153846154,0.5384615384615384,N1 O7,de-protonated,0,,C13 H21 O7 N1,13,21,7,,1,,,,,
578,303.051673,303.05114388976585,303.0510261916309,2362909.5,nan,343849.3,15.12,-1,0.3883772855752898,0.9730019815647534,0.0,0.583801188938852,10.0,0.8,0.4666666666666667,O7,de-protonated,0,,C15 H12 O7,15,12,7,,,,,,,
579,303.087984,303.08745476379437,303.0874117010152,3017770.0,nan,368281.0,19.99,-1,0.14208039503399325,0.9963438247904638,0.0,0.5978062948742783,9.0,1.0,0.375,O6,de-protonated,0,,C16 H16 O6,16,16,6,,,,,,,
583,303.124424,303.1238946373753,303.12379721039946,3137590.5,nan,325456.8,20.88,-1,0.321409855486114,0.9814301556185057,0.0,0.5888580933711034,8.0,1.1764705882352942,0.29411764705882354,O5,de-protonated,0,,C17 H20 O5,17,20,5,,,,,,,
590,305.0309,305.0303640233572,305.0302907467246,1464001.5,nan,345815.1,8.43,-1,0.24022739661131676,0.9895833738679667,0.0,0.59375002432078,10.0,0.7142857142857143,0.5714285714285714,O8,de-protonated,0,,C14 H10 O8,14,10,8,,,,,,,
591,305.067248,305.0667118972574,305.0666762561089,3042509.8,nan,368202.1,20.17,-1,0.11683068410901766,0.9975263971235565,0.0,0.5985158382741339,9.0,0.9333333333333333,0.4666666666666667,O7,de-protonated,0,,C15 H14 O7,15,14,7,,,,,,,
594,305.103678,305.10314177087304,305.1030617654932,4013786.3,nan,365920.2,27.39,-1,0.2622241133672322,0.9876008298554427,0.0,0.5925604979132656,8.0,1.125,0.375,O6,de-protonated,0,,C16 H18 O6,16,18,6,,,,,,,
596,305.140095,305.1395586445338,305.13944727487745,3070694.5,nan,338240.1,20.38,-1,0.36497954404968036,0.9761189824367259,0.0,0.5856713894620356,7.0,1.2941176470588236,0.29411764705882354,O5,de-protonated,0,,C17 H22 O5,17,22,5,,,,,,,
603,307.046632,307.046089030304,307.04594081120257,2058603.5,nan,348918.2,12.85,-1,0.4827261388177868,0.9585994232098088,0.0,0.5751596539258853,9.0,0.8571428571428571,0.5714285714285714,O8,de-protonated,0,,C14 H12 O8,14,12,8,,,,,,,
604,307.082941,307.08239790433953,307.0823263205869,4558199.5,nan,341715.7,31.43,-1,0.23310932115930527,0.9901885360208209,0.0,0.5941131216124925,8.0,1.0666666666666667,0.4666666666666667,O7,de-protonated,0,,C15 H16 O7,15,16,7,,,,,,,
607,307.119337,307.1187937780731,307.1187118299712,5707140.0,nan,326799.9,39.97,-1,0.26682874981400945,0.9871643806482242,0.0,0.5922986283889345,7.0,1.25,0.375,O6,de-protonated,0,,C16 H20 O6,16,20,6,,,,,,,
