Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P,18O
338,240.051733,240.05136640216955,240.05136054425222,2182277.0,nan,456792.8,15.07,-1,0.024402766627089584,0.9998919540484715,0.0,0.5999351724290829,6.0,1.1,0.6,N1 O6,de-protonated,0,,C10 H11 O6 N1,10,11,6,,1,,,
340,240.096235,240.09586825112498,240.09585191651578,1713816.0,nan,495162.5,11.31,-1,0.06803370016219656,0.9991605020245661,0.9719184489707723,0.9882636808030485,5.0,1.4545454545454546,0.45454545454545453,13C1 O5,de-protonated,1,334,C11 H16 O5 13C1,11,16,5,,,1,,
341,240.132649,240.13228212753194,240.13223742590012,2562215.5,nan,498122.3,18.11,-1,0.1861542302736527,0.9937319134875616,0.983455259888201,0.9896212520478174,4.0,1.6666666666666667,0.3333333333333333,13C1 O4,de-protonated,1,335,C12 H20 O4 13C1,12,20,4,,,1,,
342,241.025815,241.02544509603072,241.0254801483458,1187493.4,nan,390393.0,7.08,-1,-0.14542991491392154,0.9961697398911075,0.0,0.5977018439346644,11.0,0.5,0.3333333333333333,N2 O4,de-protonated,0,,C12 H6 O4 N2,12,6,4,,2,,,
343,241.035798,241.03542806214733,241.03537612715292,3522089.5,nan,464018.1,25.81,-1,0.21546627408595517,0.9916114964535001,0.0,0.5949668978721,6.0,1.0,0.7,O7,de-protonated,0,,C10 H10 O7,10,10,7,,,,,
344,241.07219,241.071819938629,241.07176163653722,10853433.0,nan,460507.0,84.61,-1,0.24184537994606076,0.9943224282976116,0.9991056215180109,0.9962357055857713,5.0,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,,C11 H14 O6,11,14,6,,,,,
345,241.108572,241.10820181514458,241.10814714592152,6162505.0,nan,498792.3,46.99,-1,0.2267415004783036,0.9907147893973047,0.0,0.5944288736383828,4.0,1.5,0.4166666666666667,O5,de-protonated,0,,C12 H18 O5,12,18,5,,,,,
348,241.144937,241.14456669171787,241.14453265530582,2111064.5,nan,464682.1,14.49,-1,0.14114527777740024,0.9963917067798178,0.0,0.5978350240678907,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,,
353,242.067379,242.06700556085073,242.06701060873021,3925988.8,nan,431967.4,29.05,-1,-0.020853231799763935,0.999921098831308,0.0,0.5999526592987847,5.0,1.3,0.6,N1 O6,de-protonated,0,,C10 H13 O6 N1,10,13,6,,1,,,
354,242.075506,242.07513253326684,242.07511647160948,1313000.3,nan,552210.4,8.09,-1,0.06634989005252258,0.9992015259631823,0.9991056215180109,0.9991631641851138,5.0,1.4,0.6,13C1 O6,de-protonated,1,344,C10 H14 O6 13C1,10,14,6,,,1,,
