"Sample_ID","NPOC_mg_C_per_L","TN_mg_N_per_L","Flags","Outlier"
"SPS_0003_OCN-3",1.712,0.4266,NA,NA
"SPS_0043_OCN-3",0.712,0.07705,NA,NA
"SPS_0041_OCN-2",1.137,0.07168,NA,NA
"SPS_0015_OCN-3",0.6708,0.0626,NA,NA
"SPS_0026_OCN-3",0.649,0.1187,NA,NA
"SPS_0001_OCN-2",1.003,0.0724,NA,NA
"SPS_0030_OCN-2",1.19,0.07107,NA,NA
"SPS_0012_OCN-1",1.222,0.09416,NA,NA
"SPS_0008_OCN-3",1.09,0.1127,NA,NA
"SPS_0010_OCN-1",0.9382,0.09096,NA,NA
"SPS_0016_OCN-3",1.023,0.05702,NA,NA
"SPS_0031_OCN-3",1.328,0.08049,NA,NA
"SPS_0028_OCN-2",1.583,0.1904,NA,NA
"SPS_0028_OCN-1",1.59,0.195,NA,NA
"SPS_0027_OCN-3",1.627,0.2098,NA,NA
"SPS_0001_OCN-3",1.075,0.07299,NA,NA
"SPS_0043_OCN-2",0.7085,0.06484,NA,NA
"SPS_0020_OCN-1",0.6095,0.0474,NA,NA
"SPS_0050_OCN-3",3.075,0.2106,NA,NA
"SPS_0023_OCN-1",0.5997,0.04707,NA,NA
"SPS_0045_OCN-2",1.783,0.1135,NA,NA
"SPS_0015_OCN-1",0.7603,0.04967,NA,NA
"SPS_0035_OCN-2",1.642,0.2178,NA,NA
"SPS_0041_OCN-3",1.091,0.08342,NA,NA
"SPS_0045_OCN-1",1.765,0.1208,NA,NA
"SPS_0049_OCN-3",1.596,0.211,NA,NA
"SPS_0041_OCN-1",1.12,0.08008,NA,NA
"SPS_0042_OCN-1",0.9754,0.08425,NA,NA
"SPS_0032_OCN-2",2.431,0.1228,NA,NA
"SPS_0049_OCN-2",1.571,0.2153,NA,NA
"SPS_0010_OCN-2",1.042,0.07359,NA,NA
"SPS_0006_OCN-1",1.154,0.08154,NA,NA
"SPS_0022_OCN-3",0.9323,0.08177,NA,NA
"SPS_0033_OCN-1",2.498,0.6831,NA,NA
"SPS_0047_OCN-1",1.342,0.1026,NA,NA
"SPS_0035_OCN-1",1.65,0.2473,NA,NA
"SPS_0032_OCN-3",2.457,0.1343,NA,NA
"SPS_0006_OCN-2",1.111,0.08383,NA,NA
"SPS_0043_OCN-1",0.7519,0.06754,NA,NA
"SPS_0001_OCN-1",1.034,0.07393,NA,NA
"SPS_0014_OCN-1",0.6643,0.0526,NA,NA
"SPS_0025_OCN-1",0.6755,0.07046,NA,NA
"SPS_0020_OCN-2",0.5482,0.03868,NA,NA
"SPS_0023_OCN-2",0.5336,0.04705,NA,NA
"SPS_0045_OCN-3",1.778,0.1246,NA,NA
"SPS_0006_OCN-3",1.1,0.07439,NA,NA
"SPS_0044_OCN-3",0.7762,0.04961,NA,NA
