Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
200.452196837181,0,0,0,0,0,0,0,0,,None,201.459473304061,0,0,NA,NA,NA,NA,NA,NA,NA,200.228370123436,0.771629876564134,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.462498320471,0,0,0,0,0,0,0,0,,None,201.469774787351,0,0,NA,NA,NA,NA,NA,NA,NA,200.238660103998,0.761339896002397,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.473269468868,0,0,0,0,0,0,0,0,,None,201.480545935748,0,0,NA,NA,NA,NA,NA,NA,NA,200.249419225234,0.750580774765922,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.489483064694,0,0,0,0,0,0,0,0,,None,201.496759531574,0,0,NA,NA,NA,NA,NA,NA,NA,200.265614716814,0.734385283185873,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.505325182106,0,0,0,0,0,0,0,0,,None,201.512601648986,0,0,NA,NA,NA,NA,NA,NA,NA,200.281439144776,0.718560855223728,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.516892325638,0,0,0,0,0,0,0,0,,None,201.524168792518,0,0,NA,NA,NA,NA,NA,NA,NA,200.292993372332,0.707006627667511,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.524697095072,0,0,0,0,0,0,0,0,,None,201.531973561952,0,0,NA,NA,NA,NA,NA,NA,NA,200.300789426891,0.699210573108758,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.527434093419,0,0,0,0,0,0,0,0,,None,201.534710560299,0,0,NA,NA,NA,NA,NA,NA,NA,200.303523369081,0.696476630918596,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.529675817607,0,0,0,0,0,0,0,0,,None,201.536952284487,0,0,NA,NA,NA,NA,NA,NA,NA,200.30576259014,0.694237409859852,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.540613323833,0,0,0,0,0,0,0,0,,None,201.547889790713,0,0,NA,NA,NA,NA,NA,NA,NA,200.316687883449,0.683312116551008,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.552085822247,0,0,0,0,0,0,0,0,,None,201.559362289127,0,0,NA,NA,NA,NA,NA,NA,NA,200.328147571569,0.671852428431237,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.554707390782,0,0,0,0,0,0,0,0,,None,201.561983857662,0,0,NA,NA,NA,NA,NA,NA,NA,200.330766212837,0.66923378716308,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.56060820748,0,0,0,0,0,0,0,0,,None,201.56788467436,0,0,NA,NA,NA,NA,NA,NA,NA,200.33666044063,0.663339559369717,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.573117341395,0,0,0,0,0,0,0,0,,None,201.580393808275,0,0,NA,NA,NA,NA,NA,NA,NA,200.349155606735,0.650844393265402,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.573886298999,0,0,0,0,0,0,0,0,,None,201.581162765879,0,0,NA,NA,NA,NA,NA,NA,NA,200.349923705714,0.650076294286322,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.57595585113,0,0,0,0,0,0,0,0,,None,201.58323231801,0,0,NA,NA,NA,NA,NA,NA,NA,200.351990946964,0.648009053035707,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.59105741176,0,0,0,0,0,0,0,0,,None,201.59833387864,0,0,NA,NA,NA,NA,NA,NA,NA,200.367075645057,0.632924354943242,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.601473459623,0,0,0,0,0,0,0,0,,None,201.608749926503,0,0,NA,NA,NA,NA,NA,NA,NA,200.377480062268,0.622519937732335,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.607964472564,0,0,0,0,0,0,0,0,,None,201.615240939444,0,0,NA,NA,NA,NA,NA,NA,NA,200.383963827286,0.616036172714388,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.617951980842,0,0,0,0,0,0,0,0,,None,201.625228447722,0,0,NA,NA,NA,NA,NA,NA,NA,200.393940183423,0.606059816577329,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.618871690056,0,0,0,0,0,0,0,0,,None,201.626148156936,0,0,NA,NA,NA,NA,NA,NA,NA,200.394858865681,0.605141134318842,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.620397008946,0,0,0,0,0,0,0,0,,None,201.627673475826,0,0,NA,NA,NA,NA,NA,NA,NA,200.396382481386,0.603617518613561,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.630188807705,0,0,0,0,0,0,0,0,,None,201.637465274585,0,0,NA,NA,NA,NA,NA,NA,NA,200.406163346535,0.593836653464535,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.63729603736,0,0,0,0,0,0,0,0,,None,201.64457250424,0,0,NA,NA,NA,NA,NA,NA,NA,200.413262640194,0.586737359805682,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.640023114047,0,0,0,0,0,0,0,0,,None,201.647299580927,0,0,NA,NA,NA,NA,NA,NA,NA,200.415986671803,0.584013328196846,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.646427117546,0,0,0,0,0,0,0,0,,None,201.653703584426,0,0,NA,NA,NA,NA,NA,NA,NA,200.422383524535,0.577616475465362,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.652630462874,0,0,0,0,0,0,0,0,,None,201.659906929754,0,0,NA,NA,NA,NA,NA,NA,NA,200.428579943152,0.571420056848183,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.655291136616,0,0,0,0,0,0,0,0,,None,201.662567603496,0,0,NA,NA,NA,NA,NA,NA,NA,200.431237645962,0.568762354038256,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.671210874296,0,0,0,0,0,0,0,0,,None,201.678487341176,0,0,NA,NA,NA,NA,NA,NA,NA,200.44713960752,0.552860392479545,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.692438545914,0,0,0,0,0,0,0,0,,None,201.699715012794,0,0,NA,NA,NA,NA,NA,NA,NA,200.468343576131,0.531656423869322,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.705362172385,0,0,0,0,0,0,0,0,,None,201.712638639265,0,0,NA,NA,NA,NA,NA,NA,NA,200.481252771965,0.518747228035096,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.710234761076,0,0,0,0,0,0,0,0,,None,201.717511227956,0,0,NA,NA,NA,NA,NA,NA,NA,200.48611991988,0.513880080120146,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.710858760315,0,0,0,0,0,0,0,0,,None,201.718135227195,0,0,NA,NA,NA,NA,NA,NA,NA,200.486743222356,0.513256777644273,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.712636534766,0,0,0,0,0,0,0,0,,None,201.719913001646,0,0,NA,NA,NA,NA,NA,NA,NA,200.488519011728,0.511480988272126,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.715198775164,0,0,0,0,0,0,0,0,,None,201.722475242044,0,0,NA,NA,NA,NA,NA,NA,NA,200.491078391105,0.508921608894639,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.727438300464,0,0,0,0,0,0,0,0,,None,201.734714767344,0,0,NA,NA,NA,NA,NA,NA,NA,200.503304249642,0.496695750357929,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.733572231408,0,0,0,0,0,0,0,0,,None,201.740848698288,0,0,NA,NA,NA,NA,NA,NA,NA,200.509431331384,0.490568668616021,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.734721615878,0,0,0,0,0,0,0,0,,None,201.741998082758,0,0,NA,NA,NA,NA,NA,NA,NA,200.510579432441,0.489420567558994,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.765914974784,0,0,0,0,0,0,0,0,,None,201.773191441664,0,0,NA,NA,NA,NA,NA,NA,NA,200.541737960564,0.458262039436192,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.777519100292,0,0,0,0,0,0,0,0,,None,201.784795567172,0,0,NA,NA,NA,NA,NA,NA,NA,200.553329128802,0.446670871198421,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.784761699987,0,0,0,0,0,0,0,0,,None,201.792038166867,0,0,NA,NA,NA,NA,NA,NA,NA,200.560563641345,0.439436358654945,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.788369290193,0,0,0,0,0,0,0,0,,None,201.795645757073,0,0,NA,NA,NA,NA,NA,NA,NA,200.564167203284,0.435832796716397,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.788761577307,0,0,0,0,0,0,0,0,,None,201.796038044187,0,0,NA,NA,NA,NA,NA,NA,NA,200.564559052366,0.43544094763368,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.790478250617,0,0,0,0,0,0,0,0,,None,201.797754717497,0,0,NA,NA,NA,NA,NA,NA,NA,200.566273808824,0.433726191176419,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.793896104778,0,0,0,0,0,0,0,0,,None,201.801172571658,0,0,NA,NA,NA,NA,NA,NA,NA,200.569687846578,0.430312153421909,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.797322325801,0,0,0,0,0,0,0,0,,None,201.804598792681,0,0,NA,NA,NA,NA,NA,NA,NA,200.573110241852,0.426889758147951,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.798462604737,0,0,0,0,0,0,0,0,,None,201.805739071617,0,0,NA,NA,NA,NA,NA,NA,NA,200.574249247542,0.42575075245756,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.805439398149,0,0,0,0,0,0,0,0,,None,201.812715865029,0,0,NA,NA,NA,NA,NA,NA,NA,200.581218250605,0.418781749395436,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.809320405056,0,0,0,0,0,0,0,0,,None,201.816596871936,0,0,NA,NA,NA,NA,NA,NA,NA,200.585094923945,0.414905076055419,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.81110211155,0,0,0,0,0,0,0,0,,None,201.81837857843,0,0,NA,NA,NA,NA,NA,NA,NA,200.586874640969,0.413125359030801,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.816134745372,0,0,0,0,0,0,0,0,,None,201.823411212252,0,0,NA,NA,NA,NA,NA,NA,NA,200.591901655307,0.408098344692689,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.820531437551,0,0,0,0,0,0,0,0,,None,201.827807904431,0,0,NA,NA,NA,NA,NA,NA,NA,200.596293438101,0.40370656189944,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.829284786444,0,0,0,0,0,0,0,0,,None,201.836561253324,0,0,NA,NA,NA,NA,NA,NA,NA,200.605037012926,0.394962987074052,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.830575521527,0,0,0,0,0,0,0,0,,None,201.837851988407,0,0,NA,NA,NA,NA,NA,NA,NA,200.606326306763,0.393673693237332,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.832573160223,0,0,0,0,0,0,0,0,,None,201.839849627103,0,0,NA,NA,NA,NA,NA,NA,NA,200.608321714877,0.391678285122566,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.84809539436,0,0,0,0,0,0,0,0,,None,201.85537186124,0,0,NA,NA,NA,NA,NA,NA,NA,200.623826616749,0.376173383250887,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.859598641438,0,0,0,0,0,0,0,0,,None,201.866875108318,0,0,NA,NA,NA,NA,NA,NA,NA,200.635317019199,0.364682980801319,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.862629592619,0,0,0,0,0,0,0,0,,None,201.869906059499,0,0,NA,NA,NA,NA,NA,NA,NA,200.638344585992,0.361655414007515,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.865502377256,0,0,0,0,0,0,0,0,,None,201.872778844136,0,0,NA,NA,NA,NA,NA,NA,NA,200.641214162853,0.358785837147479,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.867385074061,0,0,0,0,0,0,0,0,,None,201.874661540941,0,0,NA,NA,NA,NA,NA,NA,NA,200.643094757421,0.356905242578563,NA,NA,NA,NA,NA,NA,NA,NA,NA
